"bimac","density","bathymetry_prob","reconstruction_log_probability","percentile","longitude","latitude","lower_fishing_effort_estimate","average_fishing_effort_estimate","upper_fishing_effort_estimate","gfw_data"
0,0,0.948009153833757,-1.20493590831757,"50p-75p",-1,50.5,0,0,0,1323.53137207031
0,0,0.946981675891842,-1.20716023445129,"50p-75p",-0.5,50.5,0,0,0,6971.42822265625
0,1.7578125,0.947505513989762,-1.22722840309143,"50p-75p",0.5,50.5,0,0,0,15430.1083984375
118.825408935547,2.05078125,0.9480477407129,-2.0965723991394,"0p-25p",1,50.5,22.7795239272672,37.6357351841806,52.491946441094,27379.01953125
0,0,0,-1.03874349594116,"75p-100p",-1,51,0,0,0,0
0,0,0,-1.00240528583527,"75p-100p",-0.5,51,0,0,0,0
0,3.45703125,0,-1.00434923171997,"75p-100p",0.5,51,0,0,0,16.2961101531982
118.825408935547,7.6171875,0.948762228153662,-2.12797832489014,"0p-25p",1,51,84.6096603012781,139.789873541242,194.970086781206,5709.0595703125
0,0,0.948123390393881,-1.19014358520508,"50p-75p",-4.5,51.5,0,0,0,259.204162597656
0,0,0,-0.989961087703705,"75p-100p",-3.5,51.5,0,0,0,0
113.057899475098,31.69921875,0.94836828961011,-2.22130870819092,"0p-25p",1.5,51.5,352.106355561473,581.740935275477,811.375514989481,4143.802734375
121.156829833984,44.6484375,0.947602282778358,-2.20987272262573,"0p-25p",2,51.5,495.942778073646,819.383720295589,1142.82466251753,13737.2294921875
123.971412658691,39.9609375,0.948063946188051,-2.28666377067566,"0p-25p",2.5,51.5,443.875294811321,733.359182731747,1022.84307065217,7655.8505859375
112.394912719727,10.25390625,0,-1.94109463691711,"25p-50p",1,52,113.897619636336,188.178675920903,262.45973220547,354.790008544922
116.425384521484,26.484375,0.948799777858583,-2.23468136787415,"0p-25p",1.5,52,294.181280432136,486.038637235703,677.895994039271,955.335266113281
120.087608337402,38.49609375,0.947925090717233,-2.17160296440125,"0p-25p",2,52,427.604206291844,706.476514743047,985.34882319425,1586.11999511719
121.803176879883,45.29296875,0.947705272038879,-2.18844270706177,"0p-25p",2.5,52,503.102057022215,831.212094210617,1159.32213139902,6390.306640625
122.656608581543,64.16015625,0.947972035820005,-2.27238368988037,"0p-25p",3,52,712.673677153074,1177.46085790508,1642.24803865708,7475.52001953125
123.178199768066,110.625,0.948197552599899,-2.22236490249634,"0p-25p",3.5,52,1228.79260499087,2030.17908650666,2831.56556802244,3312.76953125
0,108.80859375,0.948427302582646,-1.42736279964447,"25p-50p",4,52,1208.61645522672,1996.84457820067,2785.07270117461,4507.38037109375
120.687767028809,10.8984375,0,-2.024986743927,"25p-50p",1.5,52.5,121.056898584906,200.007049835931,278.957201086957,783.233581542969
124.184448242188,19.6875,0.94795467327042,-2.07307839393616,"25p-50p",2,52.5,218.683429701765,361.303057768134,503.922685834502,4326.73974609375
120.730445861816,31.40625,0.947576293494987,-2.24595975875854,"0p-25p",2.5,52.5,348.852137857578,576.364401677737,803.876665497896,7507.79541015625
120.093818664551,58.9453125,0.947931741787324,-2.23737096786499,"0p-25p",3,52.5,654.748602023737,1081.7585598653,1508.76851770687,7973.44921875
123.670402526855,103.53515625,0.948131342057013,-2.35875248908997,"0p-25p",3.5,52.5,1150.0405365566,1900.06697344134,2650.09341032609,7082.9404296875
