"bimac","density","bathymetry_prob","reconstruction_log_probability","percentile","longitude","latitude","lower_fishing_effort_estimate","average_fishing_effort_estimate","upper_fishing_effort_estimate","gfw_data"
0,102.36328125,0.948285748941137,-1.41157639026642,"25p-50p",4,52.5,1137.02366574102,1878.56083905038,2620.09801235975,3589.9833984375
0,0,0,-1.00265562534332,"75p-100p",-4.5,53,0,0,0,139.091110229492
123.643753051758,7.8515625,0.948356936198055,-2.1065821647644,"0p-25p",1.5,53,87.2130344643944,144.091100419434,200.969166374474,5258.13623046875
124.094802856445,11.953125,0.948228835575307,-2.02718114852905,"25p-50p",2,53,132.772082318929,219.362570787795,305.953059256662,2059.84912109375
121.579933166504,20.625,0.947962565954921,-2.0779972076416,"25p-50p",2.5,53,229.09692635423,378.507965280902,527.919004207574,14557.09765625
120.121116638184,37.67578125,0.948010731077148,-2.16105628013611,"0p-25p",3,53,418.492396720937,691.422220669375,964.352044617812,12201.1279296875
118.586616516113,63.45703125,0.948088415959165,-2.34425568580627,"0p-25p",3.5,53,704.863554663725,1164.5571772705,1624.25079987728,7398.98388671875
124.126953125,69.140625,0.94816803778167,-2.28852224349976,"0p-25p",4,53,767.995378119294,1268.86192906666,1769.72848001403,2272.34912109375
0,39.375,0.948695808437193,-1.26929080486298,"50p-75p",5,53,0,0,0,81770.7890625
125.60026550293,25.546875,0.948609198106714,-2.2225227355957,"0p-25p",0.5,53.5,283.767783779671,468.833729722935,653.899675666199,6881.44580078125
121.918663024902,18.1640625,0.948429123392282,-2.18349814414978,"0p-25p",1,53.5,201.761497641509,333.345083059885,464.928668478261,2360.49682617188
122.493743896484,9.66796875,0.948205542789178,-2.1513831615448,"0p-25p",1.5,53.5,107.389184228545,177.425608725423,247.4620332223,2275.90893554688
125.205345153809,7.55859375,0.94804392143302,-2.06877660751343,"25p-50p",2,53.5,83.9588167604991,138.714566821694,193.470316882889,4271.09814453125
124.372688293457,13.53515625,0.948164797165831,-2.11346960067749,"0p-25p",2.5,53.5,150.344857919963,248.395852215592,346.44684651122,5350.89111328125
119.89616394043,30.8203125,0.947947784865826,-2.22426700592041,"0p-25p",3,53.5,342.343702449787,565.611334482257,788.878966514726,8595.154296875
116.433929443359,55.60546875,0.947900414180077,-2.09638714790344,"0p-25p",3.5,53.5,617.65052019933,1020.46607685107,1423.28163350281,4824.7724609375
118.088157653809,75.05859375,0.948014455391322,-2.21360063552856,"0p-25p",4,53.5,833.730575737979,1377.46790774101,1921.20523974404,4663.74951171875
125.899185180664,82.08984375,0.948177331661202,-2.29652523994446,"0p-25p",4.5,53.5,911.831800631467,1506.50471408677,2101.17762754208,2933.56591796875
0,73.7109375,0.948266619522626,-1.34577536582947,"50p-75p",5,53.5,0,0,0,4078.70092773438
126.171539306641,68.37890625,0.948784402634495,-2.34617805480957,"0p-25p",7,53.5,759.534412089166,1254.88294171254,1750.2314713359,7330.08740234375
0,1.58203125,0.947953941296293,-1.20813691616058,"50p-75p",-4.5,54,0,0,0,1744.07861328125
0,5.44921875,0.947918720010264,-1.2212610244751,"50p-75p",-4,54,0,0,0,3167.57470703125
0,6.26953125,0.948242236507602,-1.1784656047821,"50p-75p",-3.5,54,0,0,0,108.948059082031
0,34.21875,0.947731090547478,-1.27713871002197,"50p-75p",0,54,0,0,0,10326.0947265625
120.679595947266,39.609375,0.947183224569548,-2.30569434165955,"0p-25p",0.5,54,439.970233566646,726.907342414459,1013.84445126227,7085.91796875
116.423118591309,24.19921875,0.947586316457643,-2.24913191795349,"0p-25p",1,54,268.798382341753,444.101675173331,619.404968004909,1083.2197265625
119.037445068359,14.82421875,0.946907989826709,-2.14072179794312,"0p-25p",1.5,54,164.663415817103,272.052600045648,379.441784274194,1869.17309570312
122.575576782227,13.0078125,0.946984501551524,-2.22136688232422,"0p-25p",2,54,144.487266052952,238.71809173966,332.948917426367,2866.15283203125
123.247871398926,14.4140625,0.946798780506121,-2.02400135993958,"25p-50p",2.5,54,160.107511031649,264.525453008812,368.943394985975,6585.93994140625
119.267967224121,26.953125,0.947513043784317,-2.17783641815186,"0p-25p",3,54,299.388028758369,494.641090992088,689.894153225806,1496.74584960938
113.796447753906,47.6953125,0.947441442412746,-2.14390969276428,"0p-25p",3.5,54,529.786642194157,875.299669712085,1220.81269723001,904.807800292969
120.403717041016,64.62890625,0.947341846752491,-2.33678841590881,"0p-25p",4,54,717.880425479306,1186.06331166146,1654.24619784362,3145.580078125
124.124366760254,73.41796875,0.947358969547048,-2.15251636505127,"0p-25p",4.5,54,815.506956596166,1347.35931959366,1879.21168259116,6211.1904296875
0,79.04296875,0.947574284823042,-1.35023748874664,"50p-75p",5,54,0,0,0,10134.6923828125
0,79.3359375,0.94772155527374,-1.36498284339905,"50p-75p",5.5,54,0,0,0,6639.39404296875
0,79.04296875,0.947963587389787,-1.34488987922668,"50p-75p",6,54,0,0,0,2804.16528320312
0,93.28125,0.947952183747943,-1.39523696899414,"25p-50p",6.5,54,1036.14291692027,1711.88829752044,2387.63367812062,460.740844726562
121.812805175781,115.83984375,0.947900414180077,-2.48094773292542,"0p-25p",7,54,1286.71768012021,2125.88138454643,2965.04508897265,1721.13195800781
122.190017700195,126.97265625,0.947788262147682,-2.42723870277405,"0p-25p",7.5,54,1410.37795286823,2330.18966126055,3250.00136965287,10107.0830078125
124.311111450195,110.5078125,0.948230020899702,-2.37215828895569,"0p-25p",8,54,1227.49091790931,2028.02847306756,2828.56602822581,40588.58203125
124.841339111328,24.66796875,0.94868325417882,-2.17316794395447,"0p-25p",14,54,274.005130667985,452.704128929715,631.403127191445,1639.90417480469
0,0.703125,0.948053529786082,-1.17276561260223,"50p-75p",-4.5,54.5,0,0,0,179.19416809082
0,2.75390625,0.947918571676705,-1.20348870754242,"50p-75p",-4,54.5,0,0,0,183.05778503418
0,28.7109375,0.947733310870435,-1.25201141834259,"50p-75p",-0.5,54.5,0,0,0,2564.15454101562
0,37.08984375,0.947099907402733,-1.28747987747192,"50p-75p",0,54.5,0,0,0,943.881652832031
122.232917785645,35.09765625,0.946619056157002,-2.0752317905426,"25p-50p",0.5,54.5,389.855280926659,644.108725009262,898.362169091865,2075.81201171875
117.354339599609,26.015625,0.947251830275681,-2.00672650337219,"25p-50p",1,54.5,288.974532105904,477.436183479319,665.897834852735,5264.06494140625
118.884956359863,26.07421875,0.947696453373039,-2.21291494369507,"0p-25p",1.5,54.5,289.625375646683,478.511490198867,667.397604751052,2195.21948242188
123.709968566895,26.484375,0.948319507313951,-2.11489677429199,"0p-25p",2,54.5,294.181280432136,486.038637235703,677.895994039271,1291.80834960938
123.051696777344,19.51171875,0.948305114481679,-2.03106904029846,"25p-50p",2.5,54.5,216.730899079428,358.07713760949,499.423376139551,232.045837402344
120.115196228027,18.10546875,0.947837887066092,-2.15463185310364,"0p-25p",3,54.5,201.11065410073,332.269776340337,463.428898579944,978.569152832031
116.567726135254,27.890625,0.947442492254181,-2.11762523651123,"0p-25p",3.5,54.5,309.801525410834,511.845998504856,713.890471598878,2358.80151367188
120.655517578125,37.67578125,0.947349788995597,-2.26332259178162,"0p-25p",4,54.5,418.492396720937,691.422220669375,964.352044617812,8515.4736328125
122.593826293945,44.82421875,0.947329713996552,-2.13801407814026,"0p-25p",4.5,54.5,497.895308695983,822.609640454233,1147.32397221248,1785.22253417969
0,67.44140625,0.947441442412746,-1.32337749004364,"50p-75p",5,54.5,0,0,0,1337.73608398438
0,95.15625,0.947568250626746,-1.38689076900482,"50p-75p",5.5,54.5,0,0,0,4089.66870117188
0,97.44140625,0.947571772066803,-1.42727720737457,"25p-50p",6,54.5,1082.35280831558,1788.23507460835,2494.11734090112,4343.46142578125
0,90.29296875,0.947623766651323,-1.37849080562592,"50p-75p",6.5,54.5,0,0,0,4791.47021484375
124.748474121094,99.84375,0.947707672439372,-2.40884256362915,"0p-25p",7,54.5,1109.03739348752,1832.32265010982,2555.60790673212,5545.06103515625
121.917701721191,130.25390625,0.948157219692697,-2.28340888023376,"0p-25p",7.5,54.5,1446.82519115186,2390.40683755524,3333.98848395863,12037.111328125
121.45093536377,146.6015625,0.948469426255262,-2.27894401550293,"0p-25p",8,54.5,1628.41053902921,2690.41741230914,3752.42428558906,41941.4921875
124.890815734863,92.34375,0.94868129963682,-2.1648120880127,"0p-25p",8.5,54.5,1025.7294202678,1694.68339000767,2363.63735974755,323.880554199219
113.72972869873,61.7578125,0.948760971999604,-2.22861909866333,"0p-25p",11,54.5,685.989091981132,1133.37328240361,1580.75747282609,869.779174804688
118.343002319336,58.9453125,0.948247602980525,-2.18440771102905,"0p-25p",11.5,54.5,654.748602023737,1081.7585598653,1508.76851770687,155.20166015625
0,44.765625,0,-1.13532340526581,"50p-75p",13.5,54.5,0,0,0,4142.55859375
0,42.59765625,0.948480967984103,-1.291876912117,"50p-75p",14,54.5,0,0,0,504.843048095703
0,16.11328125,0.948575732581195,-1.26301527023315,"50p-75p",14.5,54.5,0,0,0,3232.4248046875
0,2.05078125,0.94806549104805,-1.21494662761688,"50p-75p",15,54.5,0,0,0,7177.96337890625
0,0.46875,0.947262968562198,-1.20634651184082,"50p-75p",15.5,54.5,0,0,0,0
0,0,0,-1.03379499912262,"75p-100p",-4.5,55,0,0,0,0
0,0,0,-1.00203657150269,"75p-100p",-4,55,0,0,0,0
123.399078369141,35.80078125,0.945492095558461,-2.20343828201294,"0p-25p",-1,55,397.665403416007,657.012405643838,916.359407871669,8540.0732421875
0,37.6171875,0.946118091213928,-1.22868287563324,"50p-75p",-0.5,55,0,0,0,431.166656494141
0,29.6484375,0.945830465224256,-1.26690113544464,"50p-75p",0,55,0,0,0,1195.46862792969
125.956352233887,29.1796875,0.945573747028037,-2.06468272209167,"25p-50p",0.5,55,324.120083307973,535.502746334912,746.885409361851,406.780822753906
121.522560119629,29.70703125,0.946832263980355,-2.24130487442017,"0p-25p",1,55,329.977675174985,545.180506810844,760.383338446704,3493.40258789062
121.520072937012,31.81640625,0.94825569626116,-2.16748690605164,"0p-25p",1.5,55,353.408042643031,583.891548714573,814.375054786115,5753.39501953125
123.100578308105,29.765625,0.948199819053381,-2.15020656585693,"0p-25p",2,55,330.628518715764,546.255813530392,761.883108345021,3584.01025390625
124.661315917969,20.44921875,0.948068297553303,-2.21789002418518,"0p-25p",2.5,55,227.144395731893,375.282045122258,523.419694512623,861.864685058594
122.43669128418,12.3046875,0.948207137797378,-2.24228453636169,"0p-25p",3,55,136.677143563603,225.814411105083,314.951678646564,1179.80139160156
118.797790527344,15.46875,0.947690022778569,-2.08229112625122,"25p-50p",3.5,55,171.822694765673,283.880973960676,395.93925315568,1983.85229492188
119.283843994141,32.16796875,0.947297800930892,-2.08328199386597,"25p-50p",4,55,357.313103887705,590.343389031861,823.373674176017,2114.3779296875
120.804473876953,59.8828125,0.947295050418843,-2.22099280357361,"0p-25p",4.5,55,665.162098676202,1098.96346737807,1532.76483607994,1170.06640625
120.335693359375,93.046875,0.947586816715043,-2.30097103118896,"0p-25p",5,55,1033.53954275715,1707.58707064225,2381.63459852735,3996.01000976562
122.561233520508,115.78125,0.947637073548905,-2.34542655944824,"0p-25p",5.5,55,1286.06683657943,2124.80607782688,2963.54531907433,2175.97509765625
122.79564666748,112.03125,0.947603443612495,-2.40569996833801,"0p-25p",6,55,1244.41284996957,2055.98644777581,2867.56004558205,13242.7685546875
123.745384216309,91.9921875,0.947417725287473,-2.38739442825317,"0p-25p",6.5,55,1021.82435902313,1688.23154969039,2354.63874035764,6279.5126953125
123.850074768066,80.44921875,0.947966940805952,-2.26291561126709,"0p-25p",7,55,893.608181489653,1476.39612593943,2059.1840703892,3803.52954101562
122.336624145508,99.0234375,0.948183374645031,-2.36135768890381,"0p-25p",7.5,55,1099.92558391662,1817.26835603615,2534.61112815568,3017.88037109375
119.006500244141,123.22265625,0.948509867536603,-2.34576725959778,"0p-25p",8,55,1368.72396625837,2261.37003120948,3154.01609616059,22148.61328125
118.81819152832,87.0703125,0.948700982277726,-2.35027408599854,"0p-25p",8.5,55,967.153501597687,1597.90578524835,2228.65806889902,3909.90625
114.202415466309,27.5390625,0.948108103945273,-2.20540904998779,"0p-25p",10,55,305.896464166159,505.394158187568,704.891852208976,1342.18225097656
106.750831604004,40.6640625,0,-1.97250127792358,"25p-50p",10.5,55,451.685417300669,746.262863366323,1040.84030943198,864.386352539062
119.433799743652,34.39453125,0,-2.05157589912415,"25p-50p",12,55,382.04515843731,631.205044374686,880.364930312062,206.350830078125
125.001106262207,38.84765625,0,-2.08461594581604,"25p-50p",12.5,55,431.509267536519,712.928355060335,994.347442584151,267.792236328125
0,41.77734375,0.948166958033808,-1.27497661113739,"50p-75p",13,55,0,0,0,87.2186126708984
0,43.30078125,0.947370989267662,-1.25049710273743,"50p-75p",13.5,55,0,0,0,313.144439697266
0,31.9921875,0.947319537019204,-1.2705717086792,"50p-75p",14,55,0,0,0,792.931396484375
0,12.890625,0.947976830854341,-1.19223153591156,"50p-75p",14.5,55,0,0,0,3035.24853515625
0,4.74609375,0,-0.991329967975616,"75p-100p",15,55,0,0,0,1511.00561523438
0,1.7578125,0.945626389371494,-1.23136055469513,"50p-75p",15.5,55,0,0,0,0
120.916809082031,13.2421875,0.947827940389662,-2.1479218006134,"0p-25p",-1.5,55.5,147.090640216068,243.019318617852,338.947997019635,4310.6669921875
119.48949432373,26.66015625,0.94385846614493,-1.99739551544189,"25p-50p",-1,55.5,296.133811054474,489.264557394347,682.395303734221,2676.95703125
121.965034484863,25.48828125,0.946564911451131,-2.20371866226196,"0p-25p",-0.5,55.5,283.116940238892,467.758423003387,652.399905767882,1021.03137207031
0,22.20703125,0.945434209797772,-1.2174117565155,"50p-75p",0,55.5,0,0,0,263.493896484375
124.286239624023,25.48828125,0.94548616267965,-2.22621011734009,"0p-25p",0.5,55.5,283.116940238892,467.758423003387,652.399905767882,13.7752780914307
123.575866699219,27.36328125,0.945580725378983,-2.19198441505432,"0p-25p",1,55.5,303.943933543822,502.168238028924,700.392542514025,87.6788864135742
0,24.19921875,0.94584469203648,-1.24882543087006,"50p-75p",1.5,55.5,0,0,0,168.680557250977
0,22.03125,0.946260332211775,-1.26233458518982,"50p-75p",2,55.5,0,0,0,395.163604736328
0,25.6640625,0.946964063303665,-1.20224320888519,"50p-75p",2.5,55.5,0,0,0,902.69580078125
124.160850524902,28.125,0.947599461702598,-2.30224609375,"0p-25p",3,55.5,312.40489957395,516.147225383048,719.889551192146,945.380554199219
122.357269287109,28.7109375,0.947728868495647,-2.26138877868652,"0p-25p",3.5,55.5,318.913334981741,526.900292578528,734.887250175316,785.041381835938
122.825996398926,56.77734375,0.947919609841957,-2.28085470199585,"0p-25p",4,55.5,630.667391014912,1041.97221124203,1453.27703146914,999.343627929688
121.825874328613,113.203125,0.947910847183202,-2.37701559066772,"0p-25p",4.5,55.5,1257.42972078515,2077.49258216677,2897.55544354839,6397.55712890625
122.370010375977,142.1484375,0.94742582730837,-2.40974450111389,"0p-25p",5,55.5,1578.94642993001,2608.69410162349,3638.44177331697,4505.076171875
119.951377868652,133.359375,0.947484191897584,-2.3285756111145,"0p-25p",5.5,55.5,1481.31989881315,2447.39809369129,3413.47628856942,10611.6455078125
120.5517578125,126.6796875,0.947317716224811,-2.37876558303833,"0p-25p",6,55.5,1407.12373516433,2324.81312766281,3242.50252016129,8649.6513671875
119.918037414551,128.26171875,0.947605763907778,-2.51993703842163,"0p-25p",6.5,55.5,1424.69651076537,2353.84640909061,3282.99630741585,5237.6748046875
120.316108703613,116.77734375,0.948020174926994,-2.33348059654236,"0p-25p",7,55.5,1297.13117677267,2143.0862920592,2989.04140734572,4186.54736328125
120.170211791992,100.01953125,0.948412929934157,-2.26568627357483,"0p-25p",7.5,55.5,1110.98992410986,1835.54857026846,2560.10721642707,3444.47412109375
119.60717010498,79.27734375,0.948751737604671,-2.31184053421021,"0p-25p",8,55.5,880.591310674072,1454.88999154847,2029.18867242286,18010.380859375
0,7.5,0,-1.06305384635925,"75p-100p",9.5,55.5,0,0,0,279.397491455078
121.821350097656,39.4921875,0.948654851818896,-2.13538646697998,"0p-25p",12.5,55.5,438.668546485088,724.756728975363,1010.84491146564,2139.59057617188
124.024337768555,33.6328125,0,-2.06392192840576,"25p-50p",13,55.5,373.584192407182,617.226057020561,860.867921633941,7.1875
0,19.3359375,0,-1.02404451370239,"75p-100p",13.5,55.5,0,0,0,0
0,9.4921875,0,-1.03587758541107,"75p-100p",14,55.5,0,0,0,422.480834960938
118.269378662109,5.09765625,0.945634144913736,-1.93663048744202,"25p-50p",15,55.5,56.6233880477784,93.5516846006774,130.479981153576,3455.74340820312
118.269378662109,2.28515625,0.945558004917849,-2.23187375068665,"0p-25p",15.5,55.5,25.3828980903834,41.9369620623726,58.4910260343619,0
0,24.9609375,0.946824451651431,-1.26267790794373,"50p-75p",-2,56,0,0,0,6860.1455078125
122.915878295898,23.37890625,0.945630412496838,-2.26734328269958,"0p-25p",-1.5,56,259.686572770846,429.047381099659,598.408189428471,1840.12219238281
121.456703186035,17.05078125,0.946174396840575,-2.04663515090942,"25p-50p",-1,56,189.395470366707,312.914255388473,436.433040410238,615.008850097656
120.608963012695,18.046875,0.945884920307396,-2.11284947395325,"0p-25p",-0.5,56,200.459810559951,331.194469620789,461.929128681627,335.042785644531
121.942977905273,27.421875,0.94262229607177,-2.15904760360718,"0p-25p",0,56,304.594777084601,503.243544748472,701.892312412342,117.886108398438
120.680709838867,39.78515625,0.942935398845406,-2.14208698272705,"0p-25p",0.5,56,441.922764188984,730.133262573103,1018.34376095722,233.451110839844
122.927307128906,40.60546875,0.942498030013868,-2.26223802566528,"0p-25p",1,56,451.03457375989,745.187556646775,1039.34053953366,130.090545654297
0,33.046875,0.942066444834976,-1.24842643737793,"50p-75p",1.5,56,0,0,0,2969.54663085938
0,39.19921875,0.945249694541811,-1.25220346450806,"50p-75p",2,56,0,0,0,180.635559082031
0,60.29296875,0.945622074732865,-1.31266343593597,"50p-75p",2.5,56,0,0,0,153.702499389648
123.382202148438,77.16796875,0.945873543621562,-2.23224663734436,"0p-25p",3,56,857.160943206026,1416.17894964474,1975.19695608345,591.660278320312
124.108085632324,72.12890625,0.946165572792507,-2.20128870010376,"0p-25p",3.5,56,801.188398699026,1323.70257176361,1846.21674482819,1716.51306152344
123.488990783691,84.0234375,0.946751619335108,-2.25707411766052,"0p-25p",4,56,933.309637477176,1541.98983583186,2150.67003418654,757.985534667969
0,131.8359375,0.946721494424873,-1.48056411743164,"25p-50p",4.5,56,1464.39796675289,2419.44011898304,3374.48227121318,2918.32470703125
123.275344848633,144.4921875,0.947339315435087,-2.47240233421326,"0p-25p",5,56,1604.98017156117,2651.70637040541,3698.43256924965,5380.77783203125
121.950080871582,114.2578125,0.94716417094498,-2.39748859405518,"0p-25p",5.5,56,1269.14490451917,2096.84810311863,2924.55130171809,18482.294921875
119.305656433105,109.921875,0.947361484972524,-2.29408121109009,"0p-25p",6,56,1220.98248250152,2017.27540587208,2813.56832924264,6671.77685546875
117.691444396973,141.796875,0.947572609888925,-2.42820310592651,"0p-25p",6.5,56,1575.04136868533,2602.2422613062,3629.44315392707,5526.916015625
116.302925109863,162.1875,0.947807322287695,-2.42390012741089,"0p-25p",7,56,1801.53492087645,2976.44899970891,4151.36307854137,7098.26025390625
118.897605895996,124.98046875,0.948157219692697,-2.31563687324524,"0p-25p",7.5,56,1388.24927248174,2293.62923279592,3199.0091931101,4932.7275390625
0,14.765625,0,-1.05128371715546,"75p-100p",10,56,0,0,0,2235.01123046875
122.183654785156,27.890625,0.948551571495571,-2.13775277137756,"0p-25p",10.5,56,309.801525410834,511.845998504856,713.890471598878,622.403625488281
113.245391845703,32.40234375,0.948322299639948,-2.17939233779907,"0p-25p",11,56,359.916478050822,594.644615910053,829.372753769285,1325.02282714844
110.113456726074,21.9140625,0.948385034633909,-2.03226494789124,"25p-50p",11.5,56,243.415484251369,402.164713110958,560.913941970547,4095.59814453125
118.939613342285,24.2578125,0,-2.13376498222351,"0p-25p",12.5,56,269.449225882532,445.176981892879,620.904737903226,4714.71923828125
0,2.16796875,0,-1.04195702075958,"75p-100p",14.5,56,0,0,0,1141.38024902344
116.228492736816,3.046875,0.947924498722345,-2.02043199539185,"25p-50p",15,56,33.8438641205113,55.9159494164969,77.9880347124825,1038.86608886719
116.228492736816,1.23046875,0.948401786328908,-2.02055048942566,"25p-50p",15.5,56,13.6677143563603,22.5814411105083,31.4951678646564,0
0,64.1015625,0.947940437452343,-1.32995069026947,"50p-75p",-2.5,56.5,0,0,0,7130.4296875
0,111.09375,0.947260373111796,-1.3872572183609,"50p-75p",-2,56.5,0,0,0,9967.697265625
124.885864257812,97.55859375,0.946845946032124,-2.2616982460022,"0p-25p",-1.5,56.5,1083.65449539714,1790.38568804745,2497.11688069776,2480.94702148438
121.991554260254,50.9765625,0.946180184778036,-2.28070998191833,"0p-25p",-1,56.5,566.233880477785,935.516846006774,1304.79981153576,779.523864746094
119.346206665039,31.0546875,0.945933059359469,-2.23778295516968,"0p-25p",-0.5,56.5,344.947076612903,569.912561360449,794.878046107994,376.909454345703
117.904182434082,49.921875,0.942653498788198,-2.19227623939514,"0p-25p",0,56.5,554.518696743761,916.16132505491,1277.80395336606,779.344421386719
120.261528015137,84.19921875,0.94310784716767,-2.19618082046509,"0p-25p",0.5,56.5,935.262168099513,1545.2157559905,2155.16934388149,2020.42468261719
0,104.23828125,0.943891264420199,-1.40297162532806,"25p-50p",1,56.5,1157.85065904595,1912.97065407592,2668.09064910589,4192.2197265625
0,113.02734375,0.943246890235754,-1.41778683662415,"25p-50p",1.5,56.5,1255.47719016281,2074.26666200812,2893.05613385344,1921.24499511719
0,118.06640625,0.945078613201411,-1.43984591960907,"25p-50p",2,56.5,1311.44973466981,2166.74303988925,3022.0363451087,196.327499389648
0,119.4140625,0.945802417799976,-1.44535768032074,"25p-50p",2.5,56.5,1326.41913610773,2191.47509443886,3056.53105276999,447.543884277344
124.586418151855,120.9375,0.945884920307396,-2.38973212242126,"0p-25p",3,56.5,1343.34106816799,2219.43306914711,3095.52507012623,583.968322753906
122.330490112305,103.828125,0.946112723472695,-2.13118028640747,"0p-25p",3.5,56.5,1153.2947542605,1905.44350703909,2657.59225981767,1008.93249511719
122.891387939453,84.66796875,0.946210245453214,-2.47427773475647,"0p-25p",4,56.5,940.468916425746,1553.81820974688,2167.16750306802,1414.86059570312
0,96.09375,0.946820644721337,-1.39323472976685,"25p-50p",4.5,56.5,1067.38340687766,1763.50302005875,2459.62263323983,735.051696777344
123.507629394531,101.8359375,0.947067593519161,-2.29519081115723,"0p-25p",5,56.5,1131.16607387401,1868.88307857445,2606.60008327489,1063.40393066406
122.963584899902,87.1875,0.947049636192927,-2.25853395462036,"0p-25p",5.5,56.5,968.455188679245,1600.05639868745,2231.65760869565,3956.140625
121.359771728516,84.7265625,0.947545681682043,-2.30024838447571,"0p-25p",6,56.5,941.119759966525,1554.89351646643,2168.66727296634,5309.6767578125
115.958557128906,106.9921875,0.947714542477571,-2.27446722984314,"0p-25p",6.5,56.5,1188.44030546257,1963.51006989468,2738.57983432679,5188.96044921875
117.062400817871,142.265625,0.947792612427282,-2.48172283172607,"0p-25p",7,56.5,1580.24811701156,2610.84471506258,3641.4413131136,4443.9453125
120.230903625488,130.25390625,0.948110588972878,-2.4540798664093,"0p-25p",7.5,56.5,1446.82519115186,2390.40683755524,3333.98848395863,6713.14453125
120.065139770508,32.87109375,0.94854396111607,-2.13390612602234,"0p-25p",11,56.5,365.123226377054,603.247069666437,841.37091295582,907.266662597656
114.243682861328,29.1796875,0.948231995195482,-2.20991897583008,"0p-25p",11.5,56.5,324.120083307973,535.502746334912,746.885409361851,13110.5546875
112.432731628418,18.984375,0.948019032005519,-2.03180646896362,"25p-50p",12,56.5,210.873307212416,348.399377133557,485.925447054698,19178.439453125
0,118.9453125,0,-1.25780189037323,"50p-75p",-2.5,57,0,0,0,3187.05834960938
0,249.7265625,0.94635042974094,-1.66290760040283,"25p-50p",-2,57,2773.89517080037,4582.95723871365,6392.01930662693,3311.10913085938
0,248.37890625,0.945190829112333,-1.67517781257629,"25p-50p",-1.5,57,2758.92576936245,4558.22518416404,6357.52459896564,2114.2001953125
0,150.1171875,0.946198749349826,-1.48370838165283,"25p-50p",-1,57,1667.46115147596,2754.93581548202,3842.41047948808,1597.64892578125
123.188926696777,87.1875,0.945408307010047,-2.23058605194092,"0p-25p",-0.5,57,968.455188679245,1600.05639868745,2231.65760869565,214.927780151367
