"bimac","density","density_freq","reconstruction_log_probability","percentile","longitude","latitude","lower_fishing_effort_estimate","average_fishing_effort_estimate","upper_fishing_effort_estimate","gfw_data"
0,0,0,-0.534821093082428,"75p-100p",-1,50.5,0,0,0,1323.53137207031
0,0,0,-0.526902377605438,"75p-100p",-0.5,50.5,0,0,0,6971.42822265625
0,1.7578125,0.76171875,-0.579870283603668,"50p-75p",0.5,50.5,0,0,0,15430.1083984375
118.825408935547,2.05078125,0.76171875,-1.43519794940948,"25p-50p",1,50.5,22.7795239272672,37.6357351841806,52.491946441094,27379.01953125
0,0,0,-0.528429806232452,"75p-100p",-1,51,0,0,0,0
0,0,0,-0.518661201000214,"75p-100p",-0.5,51,0,0,0,0
0,3.45703125,1.46484375,-0.583271086215973,"50p-75p",0.5,51,0,0,0,16.2961101531982
118.825408935547,7.6171875,1.69921875,-1.48620104789734,"25p-50p",1,51,84.6096603012781,139.789873541242,194.970086781206,5709.0595703125
0,0,0,-0.523469626903534,"75p-100p",-4.5,51.5,0,0,0,259.204162597656
0,0,0,-0.531160116195679,"75p-100p",-3.5,51.5,0,0,0,0
113.057899475098,31.69921875,1.93359375,-1.5667382478714,"25p-50p",1.5,51.5,352.106355561473,581.740935275477,811.375514989481,4143.802734375
121.156829833984,44.6484375,1.81640625,-1.62567460536957,"25p-50p",2,51.5,495.942778073646,819.383720295589,1142.82466251753,13737.2294921875
123.971412658691,39.9609375,2.578125,-1.67593216896057,"25p-50p",2.5,51.5,443.875294811321,733.359182731747,1022.84307065217,7655.8505859375
112.394912719727,10.25390625,1.69921875,-1.4713009595871,"25p-50p",1,52,113.897619636336,188.178675920903,262.45973220547,354.790008544922
116.425384521484,26.484375,1.9921875,-1.5870201587677,"25p-50p",1.5,52,294.181280432136,486.038637235704,677.895994039271,955.335266113281
120.087608337402,38.49609375,1.23046875,-1.54674291610718,"25p-50p",2,52,427.604206291844,706.476514743047,985.34882319425,1586.11999511719
121.803176879883,45.29296875,3.10546875,-1.58149039745331,"25p-50p",2.5,52,503.102057022215,831.212094210617,1159.32213139902,6390.306640625
122.656608581543,64.16015625,8.203125,-1.75377082824707,"0p-25p",3,52,712.673677153074,1177.46085790508,1642.24803865708,7475.52001953125
123.178199768066,110.625,14.94140625,-1.76702225208282,"0p-25p",3.5,52,1228.79260499087,2030.17908650666,2831.56556802244,3312.76953125
0,108.80859375,14.4140625,-0.948091983795166,"50p-75p",4,52,0,0,0,4507.38037109375
120.687767028809,10.8984375,0.76171875,-1.51938879489899,"25p-50p",1.5,52.5,121.056898584906,200.007049835931,278.957201086957,783.233581542969
124.184448242188,19.6875,0.234375,-1.42610883712769,"25p-50p",2,52.5,218.683429701765,361.303057768134,503.922685834502,4326.73974609375
120.730445861816,31.40625,1.7578125,-1.59102058410645,"25p-50p",2.5,52.5,348.852137857578,576.364401677737,803.876665497896,7507.79541015625
120.093818664551,58.9453125,6.4453125,-1.66105711460114,"25p-50p",3,52.5,654.748602023737,1081.7585598653,1508.76851770687,7973.44921875
123.670402526855,103.53515625,12.1875,-1.81185746192932,"0p-25p",3.5,52.5,1150.0405365566,1900.06697344135,2650.09341032609,7082.9404296875
0,102.36328125,12.01171875,-0.89846807718277,"50p-75p",4,52.5,0,0,0,3589.9833984375
0,0,0,-0.542382478713989,"75p-100p",-4.5,53,0,0,0,139.091110229492
123.643753051758,7.8515625,0,-1.47359144687653,"25p-50p",1.5,53,87.2130344643944,144.091100419434,200.969166374474,5258.13623046875
124.094802856445,11.953125,0,-1.41866648197174,"25p-50p",2,53,132.772082318929,219.362570787795,305.953059256662,2059.84912109375
121.579933166504,20.625,0.46875,-1.46793651580811,"25p-50p",2.5,53,229.09692635423,378.507965280902,527.919004207574,14557.09765625
120.121116638184,37.67578125,1.9921875,-1.58252763748169,"25p-50p",3,53,418.492396720937,691.422220669375,964.352044617812,12201.1279296875
118.586616516113,63.45703125,4.51171875,-1.70814085006714,"25p-50p",3.5,53,704.863554663725,1164.5571772705,1624.25079987728,7398.98388671875
124.126953125,69.140625,5.5078125,-1.72640228271484,"0p-25p",4,53,767.995378119294,1268.86192906666,1769.72848001403,2272.34912109375
0,39.375,4.453125,-0.640850722789764,"50p-75p",5,53,0,0,0,81770.7890625
125.60026550293,25.546875,1.69921875,-1.58413183689117,"25p-50p",0.5,53.5,283.767783779671,468.833729722935,653.899675666199,6881.44580078125
121.918663024902,18.1640625,0.76171875,-1.54999983310699,"25p-50p",1,53.5,201.761497641509,333.345083059885,464.928668478261,2360.49682617188
122.493743896484,9.66796875,0,-1.50841081142426,"25p-50p",1.5,53.5,107.389184228545,177.425608725423,247.4620332223,2275.90893554688
125.205345153809,7.55859375,0,-1.48848938941956,"25p-50p",2,53.5,83.9588167604991,138.714566821694,193.470316882889,4271.09814453125
124.372688293457,13.53515625,0,-1.47596502304077,"25p-50p",2.5,53.5,150.344857919963,248.395852215592,346.44684651122,5350.89111328125
119.89616394043,30.8203125,0.76171875,-1.55306589603424,"25p-50p",3,53.5,342.343702449787,565.611334482257,788.878966514726,8595.154296875
116.433929443359,55.60546875,3.22265625,-1.49716281890869,"25p-50p",3.5,53.5,617.650520199331,1020.46607685107,1423.28163350281,4824.7724609375
118.088157653809,75.05859375,5.7421875,-1.64791655540466,"25p-50p",4,53.5,833.730575737979,1377.46790774101,1921.20523974404,4663.74951171875
125.899185180664,82.08984375,7.734375,-1.74392151832581,"0p-25p",4.5,53.5,911.831800631467,1506.50471408677,2101.17762754208,2933.56591796875
0,73.7109375,8.0859375,-0.773127615451813,"50p-75p",5,53.5,0,0,0,4078.70092773438
126.171539306641,68.37890625,9.66796875,-1.81534039974213,"0p-25p",7,53.5,759.534412089166,1254.88294171254,1750.2314713359,7330.08740234375
0,1.58203125,0,-0.537421226501465,"75p-100p",-4.5,54,0,0,0,1744.07861328125
0,5.44921875,0.52734375,-0.559040307998657,"50p-75p",-4,54,0,0,0,3167.57470703125
0,6.26953125,0.9375,-0.51595264673233,"75p-100p",-3.5,54,0,0,0,108.948059082031
0,34.21875,2.4609375,-0.661494851112366,"50p-75p",0,54,0,0,0,10326.0947265625
120.679595947266,39.609375,2.75390625,-1.72013437747955,"0p-25p",0.5,54,439.970233566646,726.907342414459,1013.84445126227,7085.91796875
116.423118591309,24.19921875,0.99609375,-1.65004146099091,"25p-50p",1,54,268.798382341753,444.101675173331,619.404968004909,1083.2197265625
119.037445068359,14.82421875,0.234375,-1.47777605056763,"25p-50p",1.5,54,164.663415817103,272.052600045648,379.441784274194,1869.17309570312
122.575576782227,13.0078125,0.52734375,-1.55612969398499,"25p-50p",2,54,144.487266052952,238.71809173966,332.948917426367,2866.15283203125
