"bimac","density","density_freq","reconstruction_log_probability","percentile","longitude","latitude","lower_fishing_effort_estimate","average_fishing_effort_estimate","upper_fishing_effort_estimate","gfw_data"
123.247871398926,14.4140625,0.234375,-1.42426669597626,"25p-50p",2.5,54,160.107511031649,264.525453008812,368.943394985975,6585.93994140625
119.267967224121,26.953125,0.76171875,-1.5508496761322,"25p-50p",3,54,299.388028758369,494.641090992088,689.894153225806,1496.74584960938
113.796447753906,47.6953125,2.98828125,-1.53703320026398,"25p-50p",3.5,54,529.786642194157,875.299669712086,1220.81269723001,904.807800292969
120.403717041016,64.62890625,5.21484375,-1.76350438594818,"0p-25p",4,54,717.880425479306,1186.06331166146,1654.24619784362,3145.580078125
124.124366760254,73.41796875,6.6796875,-1.63123166561127,"25p-50p",4.5,54,815.506956596166,1347.35931959366,1879.21168259116,6211.1904296875
0,79.04296875,8.7890625,-0.779195785522461,"50p-75p",5,54,0,0,0,10134.6923828125
0,79.3359375,11.015625,-0.834166288375854,"50p-75p",5.5,54,0,0,0,6639.39404296875
0,79.04296875,11.89453125,-0.814372897148132,"50p-75p",6,54,0,0,0,2804.16528320312
0,93.28125,12.83203125,-0.903866827487946,"50p-75p",6.5,54,0,0,0,460.740844726562
121.812805175781,115.83984375,15.05859375,-1.96740019321442,"0p-25p",7,54,1286.71768012021,2125.88138454643,2965.04508897265,1721.13195800781
122.190017700195,126.97265625,19.51171875,-1.99016630649567,"0p-25p",7.5,54,1410.37795286823,2330.18966126055,3250.00136965287,10107.0830078125
124.311111450195,110.5078125,20.7421875,-1.93372201919556,"0p-25p",8,54,1227.49091790931,2028.02847306756,2828.56602822581,40588.58203125
124.841339111328,24.66796875,1.93359375,-1.53725790977478,"25p-50p",14,54,274.005130667985,452.704128929715,631.403127191445,1639.90417480469
0,0.703125,0,-0.475685060024261,"75p-100p",-4.5,54.5,0,0,0,179.19416809082
0,2.75390625,0.234375,-0.532838940620422,"75p-100p",-4,54.5,0,0,0,183.05778503418
0,28.7109375,1.46484375,-0.602526903152466,"50p-75p",-0.5,54.5,0,0,0,2564.15454101562
0,37.08984375,2.98828125,-0.661313056945801,"50p-75p",0,54.5,0,0,0,943.881652832031
122.232917785645,35.09765625,2.98828125,-1.52200722694397,"25p-50p",0.5,54.5,389.855280926659,644.108725009262,898.362169091865,2075.81201171875
117.354339599609,26.015625,0.99609375,-1.42453002929688,"25p-50p",1,54.5,288.974532105904,477.436183479319,665.897834852735,5264.06494140625
118.884956359863,26.07421875,0.76171875,-1.54780924320221,"25p-50p",1.5,54.5,289.625375646683,478.511490198867,667.397604751052,2195.21948242188
123.709968566895,26.484375,1.46484375,-1.49763906002045,"25p-50p",2,54.5,294.181280432136,486.038637235704,677.895994039271,1291.80834960938
123.051696777344,19.51171875,0.76171875,-1.45163369178772,"25p-50p",2.5,54.5,216.730899079428,358.07713760949,499.423376139551,232.045837402344
120.115196228027,18.10546875,0.234375,-1.51867735385895,"25p-50p",3,54.5,201.11065410073,332.269776340337,463.428898579944,978.569152832031
116.567726135254,27.890625,0.99609375,-1.45804989337921,"25p-50p",3.5,54.5,309.801525410834,511.845998504856,713.890471598878,2358.80151367188
120.655517578125,37.67578125,1.7578125,-1.62418913841248,"25p-50p",4,54.5,418.492396720937,691.422220669375,964.352044617812,8515.4736328125
122.593826293945,44.82421875,2.98828125,-1.53488111495972,"25p-50p",4.5,54.5,497.895308695983,822.609640454233,1147.32397221248,1785.22253417969
0,67.44140625,8.02734375,-0.746032178401947,"50p-75p",5,54.5,0,0,0,1337.73608398438
0,95.15625,14.0625,-0.890725672245026,"50p-75p",5.5,54.5,0,0,0,4089.66870117188
0,97.44140625,13.76953125,-0.92005717754364,"50p-75p",6,54.5,0,0,0,4343.46142578125
0,90.29296875,9.7265625,-0.82440173625946,"50p-75p",6.5,54.5,0,0,0,4791.47021484375
124.748474121094,99.84375,11.484375,-1.88836967945099,"0p-25p",7,54.5,1109.03739348752,1832.32265010982,2555.60790673212,5545.06103515625
121.917701721191,130.25390625,21.5625,-1.98609626293182,"0p-25p",7.5,54.5,1446.82519115186,2390.40683755524,3333.98848395863,12037.111328125
121.45093536377,146.6015625,30.3515625,-1.99170231819153,"0p-25p",8,54.5,1628.41053902921,2690.41741230914,3752.42428558906,41941.4921875
124.890815734863,92.34375,21.38671875,-1.82726109027863,"0p-25p",8.5,54.5,1025.7294202678,1694.68339000767,2363.63735974755,323.880554199219
113.72972869873,61.7578125,12.12890625,-1.71898889541626,"0p-25p",11,54.5,685.989091981132,1133.37328240361,1580.75747282609,869.779174804688
118.343002319336,58.9453125,11.015625,-1.66914355754852,"25p-50p",11.5,54.5,654.748602023737,1081.7585598653,1508.76851770687,155.20166015625
0,44.765625,4.39453125,-0.681256830692291,"50p-75p",13.5,54.5,0,0,0,4142.55859375
0,42.59765625,3.515625,-0.679322719573975,"50p-75p",14,54.5,0,0,0,504.843048095703
0,16.11328125,0.99609375,-0.605197131633759,"50p-75p",14.5,54.5,0,0,0,3232.4248046875
0,2.05078125,0,-0.531591057777405,"75p-100p",15,54.5,0,0,0,7177.96337890625
0,0.46875,0,-0.542424499988556,"75p-100p",15.5,54.5,0,0,0,0
0,0,0,-0.574465990066528,"50p-75p",-4.5,55,0,0,0,0
0,0,0,-0.529473006725311,"75p-100p",-4,55,0,0,0,0
123.399078369141,35.80078125,1.875,-1.54646968841553,"25p-50p",-1,55,397.665403416007,657.012405643838,916.359407871669,8540.0732421875
0,37.6171875,1.81640625,-0.570512115955353,"50p-75p",-0.5,55,0,0,0,431.166656494141
0,29.6484375,2.2265625,-0.621248543262482,"50p-75p",0,55,0,0,0,1195.46862792969
125.956352233887,29.1796875,2.2265625,-1.50102078914642,"25p-50p",0.5,55,324.120083307973,535.502746334912,746.885409361851,406.780822753906
121.522560119629,29.70703125,0.76171875,-1.59927928447723,"25p-50p",1,55,329.977675174985,545.180506810844,760.383338446704,3493.40258789062
121.520072937012,31.81640625,0.76171875,-1.56301319599152,"25p-50p",1.5,55,353.408042643031,583.891548714573,814.375054786115,5753.39501953125
123.100578308105,29.765625,1.46484375,-1.51884400844574,"25p-50p",2,55,330.628518715764,546.255813530392,761.883108345021,3584.01025390625
124.661315917969,20.44921875,0.76171875,-1.56584668159485,"25p-50p",2.5,55,227.144395731893,375.282045122258,523.419694512623,861.864685058594
122.43669128418,12.3046875,0,-1.59663426876068,"25p-50p",3,55,136.677143563603,225.814411105084,314.951678646564,1179.80139160156
118.797790527344,15.46875,0,-1.43764746189117,"25p-50p",3.5,55,171.822694765673,283.880973960676,395.93925315568,1983.85229492188
119.283843994141,32.16796875,1.171875,-1.48064947128296,"25p-50p",4,55,357.313103887705,590.343389031861,823.373674176017,2114.3779296875
120.804473876953,59.8828125,5.80078125,-1.6485652923584,"25p-50p",4.5,55,665.162098676202,1098.96346737807,1532.76483607994,1170.06640625
120.335693359375,93.046875,13.2421875,-1.78616309165955,"0p-25p",5,55,1033.53954275715,1707.58707064225,2381.63459852735,3996.01000976562
122.561233520508,115.78125,18.6328125,-1.92259383201599,"0p-25p",5.5,55,1286.06683657943,2124.80607782688,2963.54531907433,2175.97509765625
122.79564666748,112.03125,15.64453125,-1.936115026474,"0p-25p",6,55,1244.41284996957,2055.98644777581,2867.56004558205,13242.7685546875
123.745384216309,91.9921875,9.0234375,-1.90033042430878,"0p-25p",6.5,55,1021.82435902313,1688.23154969039,2354.63874035764,6279.5126953125
123.850074768066,80.44921875,9.2578125,-1.68997716903687,"25p-50p",7,55,893.608181489653,1476.39612593943,2059.1840703892,3803.52954101562
122.336624145508,99.0234375,18.69140625,-1.95037174224854,"0p-25p",7.5,55,1099.92558391662,1817.26835603615,2534.61112815568,3017.88037109375
119.006500244141,123.22265625,27.36328125,-2.0028076171875,"0p-25p",8,55,1368.72396625837,2261.37003120948,3154.01609616059,22148.61328125
118.81819152832,87.0703125,20.5078125,-1.9235907793045,"0p-25p",8.5,55,967.153501597687,1597.90578524835,2228.65806889902,3909.90625
114.202415466309,27.5390625,3.046875,-1.57606303691864,"25p-50p",10,55,305.896464166159,505.394158187568,704.891852208976,1342.18225097656
106.750831604004,40.6640625,6.15234375,-1.54501760005951,"25p-50p",10.5,55,451.685417300669,746.262863366323,1040.84030943198,864.386352539062
119.433799743652,34.39453125,3.6328125,-1.5935400724411,"25p-50p",12,55,382.04515843731,631.205044374686,880.364930312062,206.350830078125
125.001106262207,38.84765625,3.45703125,-1.62749886512756,"25p-50p",12.5,55,431.509267536519,712.928355060335,994.347442584151,267.792236328125
0,41.77734375,4.453125,-0.660618305206299,"50p-75p",13,55,0,0,0,87.2186126708984
0,43.30078125,4.74609375,-0.619794547557831,"50p-75p",13.5,55,0,0,0,313.144439697266
0,31.9921875,2.98828125,-0.630033135414124,"50p-75p",14,55,0,0,0,792.931396484375
0,12.890625,0.76171875,-0.523711621761322,"75p-100p",14.5,55,0,0,0,3035.24853515625
0,4.74609375,0,-0.535612523555756,"75p-100p",15,55,0,0,0,1511.00561523438
0,1.7578125,0,-0.571427285671234,"50p-75p",15.5,55,0,0,0,0
120.916809082031,13.2421875,0.703125,-1.51815843582153,"25p-50p",-1.5,55.5,147.090640216068,243.019318617852,338.947997019635,4310.6669921875
119.48949432373,26.66015625,1.81640625,-1.42319440841675,"25p-50p",-1,55.5,296.133811054473,489.264557394348,682.395303734222,2676.95703125
121.965034484863,25.48828125,1.46484375,-1.5982860326767,"25p-50p",-0.5,55.5,283.116940238892,467.758423003387,652.399905767882,1021.03137207031
0,22.20703125,0.99609375,-0.555232524871826,"50p-75p",0,55.5,0,0,0,263.493896484375
124.286239624023,25.48828125,0.76171875,-1.60256159305573,"25p-50p",0.5,55.5,283.116940238892,467.758423003387,652.399905767882,13.7752780914307
123.575866699219,27.36328125,0.234375,-1.56206166744232,"25p-50p",1,55.5,303.943933543822,502.168238028924,700.392542514025,87.6788864135742
0,24.19921875,0.234375,-0.589963555335999,"50p-75p",1.5,55.5,0,0,0,168.680557250977
0,22.03125,0.99609375,-0.600715041160583,"50p-75p",2,55.5,0,0,0,395.163604736328
0,25.6640625,2.4609375,-0.555388748645782,"50p-75p",2.5,55.5,0,0,0,902.69580078125
124.160850524902,28.125,3.80859375,-1.67371213436127,"25p-50p",3,55.5,312.40489957395,516.147225383048,719.889551192146,945.380554199219
122.357269287109,28.7109375,3.22265625,-1.63855707645416,"25p-50p",3.5,55.5,318.913334981741,526.900292578528,734.887250175315,785.041381835938
122.825996398926,56.77734375,6.50390625,-1.71397137641907,"25p-50p",4,55.5,630.667391014912,1041.97221124203,1453.27703146914,999.343627929688
121.825874328613,113.203125,16.46484375,-1.89744961261749,"0p-25p",4.5,55.5,1257.42972078515,2077.49258216677,2897.55544354839,6397.55712890625
122.370010375977,142.1484375,23.3203125,-2.03731489181519,"0p-25p",5,55.5,1578.94642993001,2608.69410162349,3638.44177331697,4505.076171875
119.951377868652,133.359375,23.203125,-1.93783962726593,"0p-25p",5.5,55.5,1481.31989881315,2447.39809369129,3413.47628856942,10611.6455078125
120.5517578125,126.6796875,19.3359375,-1.95225584506989,"0p-25p",6,55.5,1407.12373516433,2324.81312766281,3242.50252016129,8649.6513671875
119.918037414551,128.26171875,16.40625,-2.03803491592407,"0p-25p",6.5,55.5,1424.69651076537,2353.84640909061,3282.99630741585,5237.6748046875
120.316108703613,116.77734375,16.9921875,-1.85613691806793,"0p-25p",7,55.5,1297.13117677267,2143.0862920592,2989.04140734572,4186.54736328125
120.170211791992,100.01953125,18.80859375,-1.87164926528931,"0p-25p",7.5,55.5,1110.98992410986,1835.54857026846,2560.10721642707,3444.47412109375
119.60717010498,79.27734375,16.93359375,-1.8495762348175,"0p-25p",8,55.5,880.591310674072,1454.88999154847,2029.18867242286,18010.380859375
0,7.5,0.46875,-0.581886827945709,"50p-75p",9.5,55.5,0,0,0,279.397491455078
121.821350097656,39.4921875,2.28515625,-1.52216374874115,"25p-50p",12.5,55.5,438.668546485088,724.756728975363,1010.84491146564,2139.59057617188
124.024337768555,33.6328125,2.2265625,-1.58113658428192,"25p-50p",13,55.5,373.584192407182,617.226057020561,860.867921633941,7.1875
0,19.3359375,1.7578125,-0.60565173625946,"50p-75p",13.5,55.5,0,0,0,0
0,9.4921875,0.99609375,-0.57371985912323,"50p-75p",14,55.5,0,0,0,422.480834960938
118.269378662109,5.09765625,0,-1.35217595100403,"25p-50p",15,55.5,56.6233880477785,93.5516846006774,130.479981153576,3455.74340820312
118.269378662109,2.28515625,0,-1.60997092723846,"25p-50p",15.5,55.5,25.3828980903834,41.9369620623727,58.4910260343619,0
0,24.9609375,3.28125,-0.63431704044342,"50p-75p",-2,56,0,0,0,6860.1455078125
122.915878295898,23.37890625,3.046875,-1.65518045425415,"25p-50p",-1.5,56,259.686572770846,429.047381099659,598.408189428471,1840.12219238281
121.456703186035,17.05078125,2.40234375,-1.47085344791412,"25p-50p",-1,56,189.395470366707,312.914255388473,436.433040410238,615.008850097656
120.608963012695,18.046875,2.4609375,-1.50437009334564,"25p-50p",-0.5,56,200.459810559951,331.194469620789,461.929128681627,335.042785644531
121.942977905273,27.421875,2.51953125,-1.54250001907349,"25p-50p",0,56,304.594777084601,503.243544748472,701.892312412342,117.886108398438
120.680709838867,39.78515625,2.98828125,-1.56067657470703,"25p-50p",0.5,56,441.922764188984,730.133262573103,1018.34376095722,233.451110839844
122.927307128906,40.60546875,3.75,-1.63104176521301,"25p-50p",1,56,451.03457375989,745.187556646776,1039.34053953366,130.090545654297
0,33.046875,4.21875,-0.632103085517883,"50p-75p",1.5,56,0,0,0,2969.54663085938
0,39.19921875,6.03515625,-0.646755635738373,"50p-75p",2,56,0,0,0,180.635559082031
0,60.29296875,10.48828125,-0.752053618431091,"50p-75p",2.5,56,0,0,0,153.702499389648
123.382202148438,77.16796875,13.59375,-1.76784002780914,"0p-25p",3,56,857.160943206026,1416.17894964474,1975.19695608345,591.660278320312
124.108085632324,72.12890625,11.25,-1.7422844171524,"0p-25p",3.5,56,801.188398699026,1323.70257176361,1846.21674482819,1716.51306152344
123.488990783691,84.0234375,13.0078125,-1.77689158916473,"0p-25p",4,56,933.309637477176,1541.98983583186,2150.67003418654,757.985534667969
0,131.8359375,23.02734375,-1.07860195636749,"25p-50p",4.5,56,1464.39796675289,2419.44011898304,3374.48227121318,2918.32470703125
123.275344848633,144.4921875,26.1328125,-2.15745306015015,"0p-25p",5,56,1604.98017156117,2651.70637040541,3698.43256924965,5380.77783203125
121.950080871582,114.2578125,19.98046875,-1.95164608955383,"0p-25p",5.5,56,1269.14490451917,2096.84810311863,2924.55130171809,18482.294921875
119.305656433105,109.921875,16.2890625,-1.86182367801666,"0p-25p",6,56,1220.98248250152,2017.27540587208,2813.56832924264,6671.77685546875
117.691444396973,141.796875,20.390625,-1.98500168323517,"0p-25p",6.5,56,1575.04136868533,2602.2422613062,3629.44315392707,5526.916015625
116.302925109863,162.1875,27.24609375,-2.07016754150391,"0p-25p",7,56,1801.53492087645,2976.44899970891,4151.36307854137,7098.26025390625
118.897605895996,124.98046875,23.14453125,-1.92757284641266,"0p-25p",7.5,56,1388.24927248174,2293.62923279592,3199.0091931101,4932.7275390625
0,14.765625,1.46484375,-0.560154855251312,"50p-75p",10,56,0,0,0,2235.01123046875
122.183654785156,27.890625,2.2265625,-1.50814986228943,"25p-50p",10.5,56,309.801525410834,511.845998504856,713.890471598878,622.403625488281
113.245391845703,32.40234375,4.04296875,-1.57090246677399,"25p-50p",11,56,359.916478050822,594.644615910053,829.372753769285,1325.02282714844
110.113456726074,21.9140625,4.86328125,-1.44791281223297,"25p-50p",11.5,56,243.415484251369,402.164713110958,560.913941970547,4095.59814453125
118.939613342285,24.2578125,1.171875,-1.65270185470581,"25p-50p",12.5,56,269.449225882532,445.176981892879,620.904737903226,4714.71923828125
0,2.16796875,0,-0.564177453517914,"50p-75p",14.5,56,0,0,0,1141.38024902344
116.228492736816,3.046875,0,-1.39533996582031,"25p-50p",15,56,33.8438641205113,55.9159494164969,77.9880347124825,1038.86608886719
116.228492736816,1.23046875,0,-1.41676592826843,"25p-50p",15.5,56,13.6677143563603,22.5814411105084,31.4951678646564,0
0,64.1015625,11.42578125,-0.797769606113434,"50p-75p",-2.5,56.5,0,0,0,7130.4296875
0,111.09375,19.51171875,-0.949454009532928,"50p-75p",-2,56.5,0,0,0,9967.697265625
124.885864257812,97.55859375,16.23046875,-1.79938495159149,"0p-25p",-1.5,56.5,1083.65449539714,1790.38568804745,2497.11688069776,2480.94702148438
121.991554260254,50.9765625,7.20703125,-1.71093952655792,"25p-50p",-1,56.5,566.233880477785,935.516846006774,1304.79981153576,779.523864746094
119.346206665039,31.0546875,4.453125,-1.64995765686035,"25p-50p",-0.5,56.5,344.947076612903,569.912561360449,794.878046107994,376.909454345703
117.904182434082,49.921875,6.97265625,-1.6190345287323,"25p-50p",0,56.5,554.518696743761,916.16132505491,1277.80395336606,779.344421386719
120.261528015137,84.19921875,10.6640625,-1.73152709007263,"0p-25p",0.5,56.5,935.262168099513,1545.2157559905,2155.16934388149,2020.42468261719
0,104.23828125,16.34765625,-0.938015699386597,"50p-75p",1,56.5,0,0,0,4192.2197265625
0,113.02734375,22.79296875,-1.00939512252808,"50p-75p",1.5,56.5,0,0,0,1921.24499511719
0,118.06640625,24.78515625,-1.05794668197632,"25p-50p",2,56.5,1311.44973466981,2166.74303988925,3022.0363451087,196.327499389648
0,119.4140625,22.79296875,-1.04857528209686,"50p-75p",2.5,56.5,0,0,0,447.543884277344
124.586418151855,120.9375,20.859375,-1.96214962005615,"0p-25p",3,56.5,1343.34106816799,2219.43306914711,3095.52507012623,583.968322753906
122.330490112305,103.828125,15.9375,-1.74511647224426,"0p-25p",3.5,56.5,1153.2947542605,1905.44350703909,2657.59225981767,1008.93249511719
122.891387939453,84.66796875,13.4765625,-1.909588098526,"0p-25p",4,56.5,940.468916425745,1553.81820974688,2167.16750306802,1414.86059570312
0,96.09375,18.6328125,-0.944918155670166,"50p-75p",4.5,56.5,0,0,0,735.051696777344
123.507629394531,101.8359375,20.21484375,-1.88531935214996,"0p-25p",5,56.5,1131.16607387401,1868.88307857445,2606.60008327489,1063.40393066406
122.963584899902,87.1875,14.94140625,-1.76971077919006,"0p-25p",5.5,56.5,968.455188679245,1600.05639868745,2231.65760869565,3956.140625
121.359771728516,84.7265625,11.953125,-1.8168534040451,"0p-25p",6,56.5,941.119759966525,1554.89351646643,2168.66727296634,5309.6767578125
115.958557128906,106.9921875,17.05078125,-1.83964717388153,"0p-25p",6.5,56.5,1188.44030546257,1963.51006989468,2738.57983432679,5188.96044921875
117.062400817871,142.265625,26.07421875,-2.16906690597534,"0p-25p",7,56.5,1580.24811701156,2610.84471506258,3641.4413131136,4443.9453125
120.230903625488,130.25390625,23.90625,-2.08738446235657,"0p-25p",7.5,56.5,1446.82519115186,2390.40683755524,3333.98848395863,6713.14453125
120.065139770508,32.87109375,4.453125,-1.54476165771484,"25p-50p",11,56.5,365.123226377054,603.247069666437,841.37091295582,907.266662597656
114.243682861328,29.1796875,5.5078125,-1.61694395542145,"25p-50p",11.5,56.5,324.120083307973,535.502746334912,746.885409361851,13110.5546875
112.432731628418,18.984375,3.1640625,-1.438023686409,"25p-50p",12,56.5,210.873307212416,348.399377133557,485.925447054698,19178.439453125
0,118.9453125,23.7890625,-1.05491900444031,"50p-75p",-2.5,57,0,0,0,3187.05834960938
0,249.7265625,50.21484375,-1.53718590736389,"25p-50p",-2,57,2773.89517080037,4582.95723871365,6392.01930662693,3311.10913085938
0,248.37890625,47.28515625,-1.57013082504272,"25p-50p",-1.5,57,2758.92576936245,4558.22518416404,6357.52459896564,2114.2001953125
0,150.1171875,23.49609375,-1.09562242031097,"25p-50p",-1,57,1667.46115147596,2754.93581548202,3842.41047948808,1597.64892578125
123.188926696777,87.1875,11.71875,-1.72092032432556,"0p-25p",-0.5,57,968.455188679245,1600.05639868745,2231.65760869565,214.927780151367
122.42211151123,102.5390625,14.58984375,-1.81287789344788,"0p-25p",0,57,1138.97619636336,1881.78675920903,2624.5973220547,141.229446411133
0,172.3828125,23.02734375,-1.15112829208374,"25p-50p",0.5,57,1914.781696972,3163.55236891027,4412.32304084853,635.806396484375
0,221.71875,35.7421875,-1.38038241863251,"25p-50p",1,57,2462.79195830797,4068.9606267697,5675.12929523142,1213.96142578125
0,231.38671875,48.3984375,-1.54046869277954,"25p-50p",1.5,57,2570.18114253652,4246.38623549512,5922.59132845372,626.670837402344
0,204.66796875,46.171875,-1.46427643299103,"25p-50p",2,57,2273.39648794127,3756.04637138122,5238.69625482118,596.16748046875
0,148.4765625,29.1796875,-1.11266160011292,"25p-50p",2.5,57,1649.23753233414,2724.82722733467,3800.4169223352,138.188888549805
124.899559020996,114.140625,17.28515625,-1.89357149600983,"0p-25p",3,57,1267.84321743761,2094.69748967954,2921.55176192146,632.899719238281
119.937835693359,95.7421875,12.12890625,-1.84031164646149,"0p-25p",3.5,57,1063.47834563299,1757.05117974146,2450.62401384993,780.793884277344
