"bimac","density","density_freq","bathymetry_prob","reconstruction_log_probability","percentile","longitude","latitude","lower_fishing_effort_estimate","average_fishing_effort_estimate","upper_fishing_effort_estimate","gfw_data"
0,0,0,0.948009153833757,-1.43899989128113,"50p-75p",-1,50.5,0,0,0,0
0,0,0,0.946981675891842,-1.4827184677124,"50p-75p",-0.5,50.5,0,0,0,0
54208.73828125,43.7109375,2.75390625,0.947505513989762,-2.481365442276,"25p-50p",0.5,50.5,18.2566565825609,20.5387386553811,22.8208207282012,0
54205.07421875,90.9375,4.04296875,0.9480477407129,-2.57427024841309,"0p-25p",1,50.5,37.9816769653278,42.7293865859938,47.4770962066598,0
0,0,0,0,-1.24273550510406,"75p-100p",-1,51,0,0,0,2816.76879882812
0,0,0,0,-1.46315205097198,"50p-75p",-0.5,51,0,0,0,3598.62475585938
54208.73828125,93.75,4.74609375,0,-2.43943762779236,"25p-50p",0.5,51,39.1563680054926,44.0509140061792,48.9454600068658,17681.03125
54205.07421875,1123.9453125,8.14453125,0.948762228153662,-2.77304196357727,"0p-25p",1,51,469.43590692585,528.115395291581,586.794883657312,28162.015625
0,0,0,0.948123390393881,-1.52529418468475,"50p-75p",-4.5,51.5,0,0,0,0
0,0,0,0,-1.46212840080261,"50p-75p",-3.5,51.5,0,0,0,404.646667480469
54214.87109375,14069.23828125,18.3984375,0.94836828961011,-3.4646589756012,"0p-25p",1.5,51.5,5876.26956477429,6610.80326037108,7345.33695596786,6897.70556640625
0,33170.390625,26.953125,0.947602282778358,-3.14857459068298,"0p-25p",2,51.5,13854.2082367834,15585.9842663813,17317.7602959792,14357.3046875
0,39298.59375,24.0234375,0.948063946188051,-3.34845423698425,"0p-25p",2.5,51.5,16413.7621223824,18465.4823876802,20517.202652978,25521.650390625
0,6563.671875,5.390625,0,-1.76352822780609,"25p-50p",1,52,2741.43521498455,3084.11461685762,3426.79401873069,168.388320922852
0,20807.578125,17.578125,0.948799777858583,-2.65237617492676,"0p-25p",1.5,52,8690.65798789907,9776.99023638646,10863.3224848738,2740.12866210938
0,31130.68359375,28.4765625,0.947925090717233,-3.55797648429871,"0p-25p",2,52,13002.2880326339,14627.5740367131,16252.8600407924,13115.9345703125
0,31864.98046875,30.41015625,0.947705272038879,-3.46906399726868,"0p-25p",2.5,52,13308.9802850369,14972.6028206665,16636.2253562961,7161.80126953125
0,23147.75390625,25.13671875,0.947972035820005,-3.20910882949829,"0p-25p",3,52,9668.07435150618,10876.5836454445,12085.0929393827,6283.39208984375
0,50857.08984375,24.55078125,0.948197552599899,-3.40669941902161,"0p-25p",3.5,52,21241.3752065096,23896.5471073233,26551.719008137,12734.4931640625
54215.9296875,73492.20703125,19.86328125,0.948427302582646,-4.64681053161621,"0p-25p",4,52,30695.3376432158,34532.2548486177,38369.1720540197,33755.98046875
0,14848.2421875,10.95703125,0,-2.2166953086853,"25p-50p",1.5,52.5,6201.63451016993,6976.83882394117,7752.04313771241,93.9330596923828
54216.88671875,16068.45703125,19.04296875,0.94795467327042,-3.47910213470459,"0p-25p",2,52.5,6711.27911249142,7550.18900155285,8389.09889061427,2745.8837890625
54216.80859375,9014.35546875,22.03125,0.947576293494987,-3.40511250495911,"0p-25p",2.5,52.5,3765.00714737813,4235.6330408004,4706.25893422267,2059.267578125
0,9081.73828125,23.02734375,0.947931741787324,-2.82577252388,"0p-25p",3,52.5,3793.15078688208,4267.29463524234,4741.4384836026,935.137756347656
0,44867.578125,25.72265625,0.948131342057013,-3.61492204666138,"0p-25p",3.5,52.5,18739.7482728287,21082.2168069323,23424.6853410359,2702.2705078125
0,71442.421875,22.32421875,0.948285748941137,-3.46609592437744,"0p-25p",4,52.5,29839.2081295057,33569.1091456939,37299.0101618821,11320.0107421875
0,0,0,0,-1.2552832365036,"75p-100p",-4.5,53,0,0,0,0
0,4687.1484375,10.6640625,0.948356936198055,-2.07195687294006,"25p-50p",1.5,53,1957.67156389461,2202.38050938144,2447.08945486826,1.41694402694702
54215.36328125,4850.859375,14.6484375,0.948228835575307,-3.20690655708313,"0p-25p",2,53,2026.0483715242,2279.30441796473,2532.56046440525,40.7013893127441
54215.6640625,2062.08984375,15,0.947962565954921,-3.15950679779053,"0p-25p",2.5,53,861.268787010814,968.927385387165,1076.58598376352,6799.2900390625
0,1332.0703125,14.6484375,0.948010731077148,-2.14393067359924,"25p-50p",3,53,556.363043898043,625.908424385299,695.453804872554,1690.748046875
