"density","density_freq","bathymetry_prob","reconstruction_log_probability","percentile","longitude","latitude","lower_fishing_effort_estimate","average_fishing_effort_estimate","upper_fishing_effort_estimate","gfw_data"
45.29296875,3.10546875,0.947705272038879,-1.14868986606598,"25p-50p",2.5,52,503.102057022215,831.212094210617,1159.32213139902,6390.306640625
64.16015625,8.203125,0.947972035820005,-1.27201616764069,"25p-50p",3,52,712.673677153074,1177.46085790508,1642.24803865708,7475.52001953125
110.625,14.94140625,0.948197552599899,-1.34466481208801,"25p-50p",3.5,52,1228.79260499087,2030.17908650666,2831.56556802244,3312.76953125
108.80859375,14.4140625,0.948427302582646,-1.33883666992188,"25p-50p",4,52,1208.61645522672,1996.84457820067,2785.07270117461,4507.38037109375
10.8984375,0.76171875,0,-0.819273173809052,"75p-100p",1.5,52.5,0,0,0,783.233581542969
19.6875,0.234375,0.94795467327042,-1.04864907264709,"25p-50p",2,52.5,218.683429701765,361.303057768134,503.922685834502,4326.73974609375
31.40625,1.7578125,0.947576293494987,-1.11423707008362,"25p-50p",2.5,52.5,348.852137857578,576.364401677737,803.876665497896,7507.79541015625
58.9453125,6.4453125,0.947931741787324,-1.20291197299957,"25p-50p",3,52.5,654.748602023737,1081.7585598653,1508.76851770687,7973.44921875
103.53515625,12.1875,0.948131342057013,-1.36561465263367,"25p-50p",3.5,52.5,1150.0405365566,1900.06697344135,2650.09341032609,7082.9404296875
102.36328125,12.01171875,0.948285748941137,-1.3309417963028,"25p-50p",4,52.5,1137.02366574102,1878.56083905039,2620.09801235975,3589.9833984375
0,0,0,-0.815147221088409,"75p-100p",-4.5,53,0,0,0,139.091110229492
7.8515625,0,0.948356936198055,-1.05362701416016,"25p-50p",1.5,53,87.2130344643944,144.091100419434,200.969166374474,5258.13623046875
11.953125,0,0.948228835575307,-1.02799642086029,"50p-75p",2,53,0,0,0,2059.84912109375
20.625,0.46875,0.947962565954921,-1.07803475856781,"25p-50p",2.5,53,229.09692635423,378.507965280902,527.919004207574,14557.09765625
37.67578125,1.9921875,0.948010731077148,-1.16080236434937,"25p-50p",3,53,418.492396720937,691.422220669375,964.352044617812,12201.1279296875
63.45703125,4.51171875,0.948088415959165,-1.22426843643188,"25p-50p",3.5,53,704.863554663725,1164.5571772705,1624.25079987728,7398.98388671875
69.140625,5.5078125,0.94816803778167,-1.25215566158295,"25p-50p",4,53,767.995378119294,1268.86192906666,1769.72848001403,2272.34912109375
39.375,4.453125,0.948695808437193,-1.18734622001648,"25p-50p",5,53,437.36685940353,722.606115536267,1007.845371669,81770.7890625
25.546875,1.69921875,0.948609198106714,-1.09452998638153,"25p-50p",0.5,53.5,283.767783779671,468.833729722935,653.899675666199,6881.44580078125
18.1640625,0.76171875,0.948429123392282,-1.07517004013062,"25p-50p",1,53.5,201.761497641509,333.345083059885,464.928668478261,2360.49682617188
9.66796875,0,0.948205542789178,-1.05390739440918,"25p-50p",1.5,53.5,107.389184228545,177.425608725423,247.4620332223,2275.90893554688
7.55859375,0,0.94804392143302,-1.03544592857361,"50p-75p",2,53.5,0,0,0,4271.09814453125
13.53515625,0,0.948164797165831,-1.05097734928131,"25p-50p",2.5,53.5,150.344857919963,248.395852215592,346.44684651122,5350.89111328125
30.8203125,0.76171875,0.947947784865826,-1.09173905849457,"25p-50p",3,53.5,342.343702449787,565.611334482257,788.878966514726,8595.154296875
55.60546875,3.22265625,0.947900414180077,-1.15643835067749,"25p-50p",3.5,53.5,617.65052019933,1020.46607685107,1423.2816335028,4824.7724609375
75.05859375,5.7421875,0.948014455391322,-1.21913349628448,"25p-50p",4,53.5,833.730575737979,1377.46790774101,1921.20523974404,4663.74951171875
82.08984375,7.734375,0.948177331661202,-1.26241183280945,"25p-50p",4.5,53.5,911.831800631467,1506.50471408677,2101.17762754208,2933.56591796875
73.7109375,8.0859375,0.948266619522626,-1.26202392578125,"25p-50p",5,53.5,818.761174300061,1352.7358531914,1886.71053208275,4078.70092773438
68.37890625,9.66796875,0.948784402634495,-1.31647408008575,"25p-50p",7,53.5,759.534412089166,1254.88294171254,1750.2314713359,7330.08740234375
1.58203125,0,0.947953941296293,-1.05400156974792,"25p-50p",-4.5,54,17.5727756010347,29.0332814277964,40.4937872545582,1744.07861328125
5.44921875,0.52734375,0.947918720010264,-1.05343008041382,"25p-50p",-4,54,60.5284492924528,100.003524917966,139.478600543478,3167.57470703125
6.26953125,0.9375,0.948242236507602,-1.10316681861877,"25p-50p",-3.5,54,69.6402588633597,115.057818991638,160.475379119916,108.948059082031
34.21875,2.4609375,0.947731090547478,-1.11959898471832,"25p-50p",0,54,380.092627814973,627.979124216042,875.865620617111,10326.0947265625
39.609375,2.75390625,0.947183224569548,-1.20221734046936,"25p-50p",0.5,54,439.970233566646,726.907342414459,1013.84445126227,7085.91796875
24.19921875,0.99609375,0.947586316457643,-1.17872262001038,"25p-50p",1,54,268.798382341753,444.101675173331,619.404968004909,1083.2197265625
14.82421875,0.234375,0.946907989826709,-1.04852175712585,"25p-50p",1.5,54,164.663415817103,272.052600045648,379.441784274194,1869.17309570312
13.0078125,0.52734375,0.946984501551524,-1.07032823562622,"25p-50p",2,54,144.487266052952,238.71809173966,332.948917426367,2866.15283203125
14.4140625,0.234375,0.946798780506121,-1.05491483211517,"25p-50p",2.5,54,160.107511031649,264.525453008812,368.943394985975,6585.93994140625
26.953125,0.76171875,0.947513043784317,-1.11080014705658,"25p-50p",3,54,299.388028758369,494.641090992088,689.894153225806,1496.74584960938
47.6953125,2.98828125,0.947441442412746,-1.14378154277802,"25p-50p",3.5,54,529.786642194157,875.299669712085,1220.81269723001,904.807800292969
64.62890625,5.21484375,0.947341846752491,-1.28125202655792,"25p-50p",4,54,717.880425479306,1186.06331166146,1654.24619784362,3145.580078125
73.41796875,6.6796875,0.947358969547048,-1.21792149543762,"25p-50p",4.5,54,815.506956596165,1347.35931959366,1879.21168259116,6211.1904296875
79.04296875,8.7890625,0.947574284823042,-1.2896488904953,"25p-50p",5,54,877.987936510955,1450.58876467027,2023.18959282959,10134.6923828125
79.3359375,11.015625,0.94772155527374,-1.27359521389008,"25p-50p",5.5,54,881.242154214851,1455.96529826801,2030.68844232118,6639.39404296875
79.04296875,11.89453125,0.947963587389787,-1.33544600009918,"25p-50p",6,54,877.987936510955,1450.58876467027,2023.18959282959,2804.16528320312
93.28125,12.83203125,0.947952183747943,-1.2905216217041,"25p-50p",6.5,54,1036.14291692027,1711.88829752044,2387.63367812062,460.740844726562
115.83984375,15.05859375,0.947900414180077,-1.44606292247772,"25p-50p",7,54,1286.71768012021,2125.88138454643,2965.04508897265,1721.13195800781
126.97265625,19.51171875,0.947788262147682,-1.48831176757812,"25p-50p",7.5,54,1410.37795286823,2330.18966126055,3250.00136965287,10107.0830078125
110.5078125,20.7421875,0.948230020899702,-1.47717189788818,"25p-50p",8,54,1227.49091790931,2028.02847306756,2828.56602822581,40588.58203125
24.66796875,1.93359375,0.94868325417882,-1.09126651287079,"25p-50p",14,54,274.005130667985,452.704128929715,631.403127191445,1639.90417480469
0.703125,0,0.948053529786082,-1.1001443862915,"25p-50p",-4.5,54.5,7.81012248934875,12.9036806345762,17.9972387798036,179.19416809082
2.75390625,0.234375,0.947918571676705,-1.05329191684723,"25p-50p",-4,54.5,30.5896464166159,50.5394158187568,70.4891852208976,183.05778503418
28.7109375,1.46484375,0.947733310870435,-1.10819327831268,"25p-50p",-0.5,54.5,318.913334981741,526.900292578528,734.887250175316,2564.15454101562
37.08984375,2.98828125,0.947099907402733,-1.11700892448425,"25p-50p",0,54.5,411.983961313147,680.669153473895,949.354345634642,943.881652832031
35.09765625,2.98828125,0.946619056157002,-1.12987411022186,"25p-50p",0.5,54.5,389.855280926659,644.108725009262,898.362169091865,2075.81201171875
26.015625,0.99609375,0.947251830275681,-1.08021295070648,"25p-50p",1,54.5,288.974532105904,477.436183479319,665.897834852735,5264.06494140625
26.07421875,0.76171875,0.947696453373039,-1.09287571907043,"25p-50p",1.5,54.5,289.625375646683,478.511490198867,667.397604751052,2195.21948242188
26.484375,1.46484375,0.948319507313951,-1.08556091785431,"25p-50p",2,54.5,294.181280432136,486.038637235704,677.895994039271,1291.80834960938
19.51171875,0.76171875,0.948305114481679,-1.08379745483398,"25p-50p",2.5,54.5,216.730899079428,358.07713760949,499.423376139551,232.045837402344
18.10546875,0.234375,0.947837887066092,-1.07667088508606,"25p-50p",3,54.5,201.11065410073,332.269776340337,463.428898579944,978.569152832031
27.890625,0.99609375,0.947442492254181,-1.07236504554749,"25p-50p",3.5,54.5,309.801525410834,511.845998504856,713.890471598878,2358.80151367188
37.67578125,1.7578125,0.947349788995597,-1.14461708068848,"25p-50p",4,54.5,418.492396720937,691.422220669375,964.352044617812,8515.4736328125
44.82421875,2.98828125,0.947329713996552,-1.14048135280609,"25p-50p",4.5,54.5,497.895308695983,822.609640454233,1147.32397221248,1785.22253417969
67.44140625,8.02734375,0.947441442412746,-1.24793672561646,"25p-50p",5,54.5,749.120915436701,1237.67803419977,1726.23515296283,1337.73608398438
95.15625,14.0625,0.947568250626746,-1.34495806694031,"25p-50p",5.5,54.5,1056.9699102252,1746.29811254598,2435.62631486676,4089.66870117188
97.44140625,13.76953125,0.947571772066803,-1.31262350082397,"25p-50p",6,54.5,1082.35280831558,1788.23507460835,2494.11734090112,4343.46142578125
90.29296875,9.7265625,0.947623766651323,-1.28127062320709,"25p-50p",6.5,54.5,1002.94989634054,1657.04765482349,2311.14541330645,4791.47021484375
99.84375,11.484375,0.947707672439372,-1.3970445394516,"25p-50p",7,54.5,1109.03739348752,1832.32265010982,2555.60790673212,5545.06103515625
130.25390625,21.5625,0.948157219692697,-1.49547529220581,"0p-25p",7.5,54.5,1446.82519115186,2390.40683755524,3333.98848395863,12037.111328125
146.6015625,30.3515625,0.948469426255262,-1.56731641292572,"0p-25p",8,54.5,1628.41053902921,2690.41741230914,3752.42428558906,41941.4921875
92.34375,21.38671875,0.94868129963682,-1.41763126850128,"25p-50p",8.5,54.5,1025.7294202678,1694.68339000767,2363.63735974755,323.880554199219
61.7578125,12.12890625,0.948760971999604,-1.32949125766754,"25p-50p",11,54.5,685.989091981132,1133.37328240361,1580.75747282609,869.779174804688
58.9453125,11.015625,0.948247602980525,-1.29267239570618,"25p-50p",11.5,54.5,654.748602023737,1081.7585598653,1508.76851770687,155.20166015625
44.765625,4.39453125,0,-0.959060072898865,"50p-75p",13.5,54.5,0,0,0,4142.55859375
42.59765625,3.515625,0.948480967984103,-1.13981652259827,"25p-50p",14,54.5,473.163254146379,781.747985111408,1090.33271607644,504.843048095703
16.11328125,0.99609375,0.948575732581195,-1.05959117412567,"25p-50p",14.5,54.5,178.981973714242,295.709347875705,412.436722037167,3232.4248046875
2.05078125,0,0.94806549104805,-1.06877291202545,"25p-50p",15,54.5,22.7795239272672,37.6357351841806,52.491946441094,7177.96337890625
0.46875,0,0.947262968562198,-1.05269002914429,"25p-50p",15.5,54.5,5.2067483262325,8.60245375638413,11.9981591865358,0
0,0,0,-0.854715466499329,"75p-100p",-4.5,55,0,0,0,0
0,0,0,-0.826099455356598,"75p-100p",-4,55,0,0,0,0
35.80078125,1.875,0.945492095558461,-1.09461319446564,"25p-50p",-1,55,397.665403416007,657.012405643838,916.359407871669,8540.0732421875
37.6171875,1.81640625,0.946118091213928,-1.18560123443604,"25p-50p",-0.5,55,417.841553180158,690.346913949827,962.852274719495,431.166656494141
29.6484375,2.2265625,0.945830465224256,-1.11609053611755,"25p-50p",0,55,329.326831634206,544.105200091296,758.883568548387,1195.46862792969
29.1796875,2.2265625,0.945573747028037,-1.11904227733612,"25p-50p",0.5,55,324.120083307973,535.502746334912,746.885409361851,406.780822753906
29.70703125,0.76171875,0.946832263980355,-1.12981414794922,"25p-50p",1,55,329.977675174985,545.180506810844,760.383338446704,3493.40258789062
31.81640625,0.76171875,0.94825569626116,-1.10842335224152,"25p-50p",1.5,55,353.408042643031,583.891548714573,814.375054786115,5753.39501953125
29.765625,1.46484375,0.948199819053381,-1.10474765300751,"25p-50p",2,55,330.628518715764,546.255813530392,761.883108345021,3584.01025390625
20.44921875,0.76171875,0.948068297553303,-1.09806346893311,"25p-50p",2.5,55,227.144395731893,375.282045122258,523.419694512623,861.864685058594
12.3046875,0,0.948207137797378,-1.10899543762207,"25p-50p",3,55,136.677143563603,225.814411105083,314.951678646564,1179.80139160156
15.46875,0,0.947690022778569,-1.0365617275238,"50p-75p",3.5,55,0,0,0,1983.85229492188
32.16796875,1.171875,0.947297800930892,-1.09817385673523,"25p-50p",4,55,357.313103887705,590.343389031861,823.373674176017,2114.3779296875
59.8828125,5.80078125,0.947295050418843,-1.19825339317322,"25p-50p",4.5,55,665.162098676202,1098.96346737807,1532.76483607994,1170.06640625
93.046875,13.2421875,0.947586816715043,-1.33879113197327,"25p-50p",5,55,1033.53954275715,1707.58707064225,2381.63459852735,3996.01000976562
115.78125,18.6328125,0.947637073548905,-1.47573018074036,"25p-50p",5.5,55,1286.06683657943,2124.80607782688,2963.54531907433,2175.97509765625
112.03125,15.64453125,0.947603443612495,-1.48106479644775,"25p-50p",6,55,1244.41284996957,2055.98644777581,2867.56004558205,13242.7685546875
91.9921875,9.0234375,0.947417725287473,-1.38894689083099,"25p-50p",6.5,55,1021.82435902313,1688.23154969039,2354.63874035764,6279.5126953125
80.44921875,9.2578125,0.947966940805952,-1.24662756919861,"25p-50p",7,55,893.608181489653,1476.39612593943,2059.1840703892,3803.52954101562
99.0234375,18.69140625,0.948183374645031,-1.4758574962616,"25p-50p",7.5,55,1099.92558391662,1817.26835603615,2534.61112815568,3017.88037109375
123.22265625,27.36328125,0.948509867536603,-1.54979491233826,"0p-25p",8,55,1368.72396625837,2261.37003120948,3154.01609616059,22148.61328125
87.0703125,20.5078125,0.948700982277726,-1.51129341125488,"0p-25p",8.5,55,967.153501597687,1597.90578524835,2228.65806889902,3909.90625
27.5390625,3.046875,0.948108103945273,-1.1481294631958,"25p-50p",10,55,305.896464166159,505.394158187568,704.891852208976,1342.18225097656
40.6640625,6.15234375,0,-0.918273448944092,"50p-75p",10.5,55,0,0,0,864.386352539062
34.39453125,3.6328125,0,-0.919042229652405,"50p-75p",12,55,0,0,0,206.350830078125
38.84765625,3.45703125,0,-0.938163459300995,"50p-75p",12.5,55,0,0,0,267.792236328125
41.77734375,4.453125,0.948166958033808,-1.16956353187561,"25p-50p",13,55,464.051444575472,766.693691037736,1069.3359375,87.2186126708984
43.30078125,4.74609375,0.947370989267662,-1.20458519458771,"25p-50p",13.5,55,480.973376635727,794.651665745984,1108.32995485624,313.144439697266
31.9921875,2.98828125,0.947319537019204,-1.14300787448883,"25p-50p",14,55,355.360573265368,587.117468873217,818.874364481066,792.931396484375
12.890625,0.76171875,0.947976830854341,-1.11063516139984,"25p-50p",14.5,55,143.185578971394,236.567478300564,329.949377629734,3035.24853515625
4.74609375,0,0,-0.716526567935944,"75p-100p",15,55,0,0,0,1511.00561523438
1.7578125,0,0.945626389371494,-1.02777993679047,"50p-75p",15.5,55,0,0,0,0
13.2421875,0.703125,0.947827940389662,-1.06282901763916,"25p-50p",-1.5,55.5,147.090640216068,243.019318617852,338.947997019635,4310.6669921875
26.66015625,1.81640625,0.94385846614493,-1.06539833545685,"25p-50p",-1,55.5,296.133811054473,489.264557394347,682.395303734222,2676.95703125
25.48828125,1.46484375,0.946564911451131,-1.14595150947571,"25p-50p",-0.5,55.5,283.116940238892,467.758423003387,652.399905767882,1021.03137207031
22.20703125,0.99609375,0.945434209797772,-1.10940897464752,"25p-50p",0,55.5,246.669701955265,407.541246708698,568.412791462132,263.493896484375
25.48828125,0.76171875,0.94548616267965,-1.11867427825928,"25p-50p",0.5,55.5,283.116940238892,467.758423003387,652.399905767882,13.7752780914307
27.36328125,0.234375,0.945580725378983,-1.138188123703,"25p-50p",1,55.5,303.943933543822,502.168238028924,700.392542514025,87.6788864135742
24.19921875,0.234375,0.94584469203648,-1.07664000988007,"25p-50p",1.5,55.5,268.798382341753,444.101675173331,619.404968004909,168.680557250977
22.03125,0.99609375,0.946260332211775,-1.07682919502258,"25p-50p",2,55.5,244.717171332928,404.315326550054,563.913481767181,395.163604736328
25.6640625,2.4609375,0.946964063303665,-1.17586493492126,"25p-50p",2.5,55.5,285.069470861229,470.984343162031,656.899215462833,902.69580078125
28.125,3.80859375,0.947599461702598,-1.14646422863007,"25p-50p",3,55.5,312.40489957395,516.147225383048,719.889551192146,945.380554199219
28.7109375,3.22265625,0.947728868495647,-1.13689589500427,"25p-50p",3.5,55.5,318.913334981741,526.900292578528,734.887250175316,785.041381835938
56.77734375,6.50390625,0.947919609841957,-1.23855304718018,"25p-50p",4,55.5,630.667391014912,1041.97221124203,1453.27703146914,999.343627929688
113.203125,16.46484375,0.947910847183202,-1.42070257663727,"25p-50p",4.5,55.5,1257.42972078515,2077.49258216677,2897.55544354839,6397.55712890625
142.1484375,23.3203125,0.94742582730837,-1.55044877529144,"0p-25p",5,55.5,1578.94642993001,2608.69410162349,3638.44177331697,4505.076171875
133.359375,23.203125,0.947484191897584,-1.48961555957794,"25p-50p",5.5,55.5,1481.31989881315,2447.39809369129,3413.47628856942,10611.6455078125
126.6796875,19.3359375,0.947317716224811,-1.5186185836792,"0p-25p",6,55.5,1407.12373516433,2324.81312766281,3242.50252016129,8649.6513671875
128.26171875,16.40625,0.947605763907778,-1.52282512187958,"0p-25p",6.5,55.5,1424.69651076537,2353.84640909061,3282.99630741585,5237.6748046875
116.77734375,16.9921875,0.948020174926994,-1.41438388824463,"25p-50p",7,55.5,1297.13117677267,2143.0862920592,2989.04140734572,4186.54736328125
100.01953125,18.80859375,0.948412929934157,-1.43076539039612,"25p-50p",7.5,55.5,1110.98992410986,1835.54857026846,2560.10721642707,3444.47412109375
79.27734375,16.93359375,0.948751737604671,-1.42300570011139,"25p-50p",8,55.5,880.591310674072,1454.88999154847,2029.18867242286,18010.380859375
7.5,0.46875,0,-1.00805830955505,"50p-75p",9.5,55.5,0,0,0,279.397491455078
39.4921875,2.28515625,0.948654851818896,-1.11489617824554,"25p-50p",12.5,55.5,438.668546485088,724.756728975363,1010.84491146564,2139.59057617188
33.6328125,2.2265625,0,-0.914858400821686,"50p-75p",13,55.5,0,0,0,7.1875
19.3359375,1.7578125,0,-0.854963719844818,"75p-100p",13.5,55.5,0,0,0,0
9.4921875,0.99609375,0,-0.812143862247467,"75p-100p",14,55.5,0,0,0,422.480834960938
5.09765625,0,0.945634144913736,-1.04817283153534,"25p-50p",15,55.5,56.6233880477784,93.5516846006774,130.479981153576,3455.74340820312
2.28515625,0,0.945558004917849,-1.12314522266388,"25p-50p",15.5,55.5,25.3828980903834,41.9369620623726,58.4910260343618,0
24.9609375,3.28125,0.946824451651431,-1.11629641056061,"25p-50p",-2,56,277.259348371881,458.080662527455,638.901976683029,6860.1455078125
23.37890625,3.046875,0.945630412496838,-1.170694231987,"25p-50p",-1.5,56,259.686572770846,429.047381099659,598.408189428471,1840.12219238281
17.05078125,2.40234375,0.946174396840575,-1.09656763076782,"25p-50p",-1,56,189.395470366707,312.914255388473,436.433040410238,615.008850097656
18.046875,2.4609375,0.945884920307396,-1.10003697872162,"25p-50p",-0.5,56,200.459810559951,331.194469620789,461.929128681627,335.042785644531
27.421875,2.51953125,0.94262229607177,-1.09111630916595,"25p-50p",0,56,304.594777084601,503.243544748472,701.892312412342,117.886108398438
39.78515625,2.98828125,0.942935398845406,-1.13993501663208,"25p-50p",0.5,56,441.922764188984,730.133262573103,1018.34376095722,233.451110839844
40.60546875,3.75,0.942498030013868,-1.15090644359589,"25p-50p",1,56,451.03457375989,745.187556646776,1039.34053953366,130.090545654297
33.046875,4.21875,0.942066444834976,-1.16522097587585,"25p-50p",1.5,56,367.075756999391,606.472989825081,845.870222650771,2969.54663085938
39.19921875,6.03515625,0.945249694541811,-1.19415307044983,"25p-50p",2,56,435.414328781193,719.380195377623,1003.34606197405,180.635559082031
60.29296875,10.48828125,0.945622074732865,-1.29233527183533,"25p-50p",2.5,56,669.718003461655,1106.49061441491,1543.26322536816,153.702499389648
77.16796875,13.59375,0.945873543621562,-1.3141325712204,"25p-50p",3,56,857.160943206025,1416.17894964474,1975.19695608345,591.660278320312
72.12890625,11.25,0.946165572792507,-1.30672132968903,"25p-50p",3.5,56,801.188398699026,1323.70257176361,1846.21674482819,1716.51306152344
84.0234375,13.0078125,0.946751619335108,-1.33501827716827,"25p-50p",4,56,933.309637477176,1541.98983583186,2150.67003418654,757.985534667969
131.8359375,23.02734375,0.946721494424873,-1.50505399703979,"0p-25p",4.5,56,1464.39796675289,2419.44011898304,3374.48227121318,2918.32470703125
144.4921875,26.1328125,0.947339315435087,-1.66234362125397,"0p-25p",5,56,1604.98017156117,2651.70637040541,3698.43256924965,5380.77783203125
114.2578125,19.98046875,0.94716417094498,-1.46299648284912,"25p-50p",5.5,56,1269.14490451917,2096.84810311863,2924.55130171809,18482.294921875
109.921875,16.2890625,0.947361484972524,-1.41281306743622,"25p-50p",6,56,1220.98248250152,2017.27540587208,2813.56832924264,6671.77685546875
141.796875,20.390625,0.947572609888925,-1.49813890457153,"0p-25p",6.5,56,1575.04136868533,2602.2422613062,3629.44315392707,5526.916015625
162.1875,27.24609375,0.947807322287695,-1.6344131231308,"0p-25p",7,56,1801.53492087645,2976.44899970891,4151.36307854138,7098.26025390625
124.98046875,23.14453125,0.948157219692697,-1.50217413902283,"0p-25p",7.5,56,1388.24927248174,2293.62923279592,3199.0091931101,4932.7275390625
14.765625,1.46484375,0,-0.852453231811523,"75p-100p",10,56,0,0,0,2235.01123046875
27.890625,2.2265625,0.948551571495571,-1.11345839500427,"25p-50p",10.5,56,309.801525410834,511.845998504856,713.890471598878,622.403625488281
32.40234375,4.04296875,0.948322299639948,-1.17171454429626,"25p-50p",11,56,359.916478050822,594.644615910053,829.372753769285,1325.02282714844
21.9140625,4.86328125,0.948385034633909,-1.13478636741638,"25p-50p",11.5,56,243.415484251369,402.164713110958,560.913941970547,4095.59814453125
24.2578125,1.171875,0,-0.762203872203827,"75p-100p",12.5,56,0,0,0,4714.71923828125
2.16796875,0,0,-0.938336133956909,"50p-75p",14.5,56,0,0,0,1141.38024902344
3.046875,0,0.947924498722345,-1.04082858562469,"50p-75p",15,56,0,0,0,1038.86608886719
1.23046875,0,0.948401786328908,-1.04392313957214,"50p-75p",15.5,56,0,0,0,0
64.1015625,11.42578125,0.947940437452343,-1.26874244213104,"25p-50p",-2.5,56.5,712.022833612294,1176.38555118553,1640.74826875877,7130.4296875
111.09375,19.51171875,0.947260373111796,-1.56276750564575,"0p-25p",-2,56.5,1233.9993533171,2038.78154026304,2843.56372720898,9967.697265625
97.55859375,16.23046875,0.946845946032124,-1.34688127040863,"25p-50p",-1.5,56.5,1083.65449539714,1790.38568804745,2497.11688069776,2480.94702148438
50.9765625,7.20703125,0.946180184778036,-1.23815131187439,"25p-50p",-1,56.5,566.233880477785,935.516846006774,1304.79981153576,779.523864746094
31.0546875,4.453125,0.945933059359469,-1.18391919136047,"25p-50p",-0.5,56.5,344.947076612903,569.912561360449,794.878046107994,376.909454345703
49.921875,6.97265625,0.942653498788198,-1.19152569770813,"25p-50p",0,56.5,554.518696743761,916.16132505491,1277.80395336606,779.344421386719
84.19921875,10.6640625,0.94310784716767,-1.32196164131165,"25p-50p",0.5,56.5,935.262168099513,1545.2157559905,2155.16934388149,2020.42468261719
104.23828125,16.34765625,0.943891264420199,-1.39559233188629,"25p-50p",1,56.5,1157.85065904595,1912.97065407592,2668.09064910589,4192.2197265625
113.02734375,22.79296875,0.943246890235754,-1.51692819595337,"0p-25p",1.5,56.5,1255.47719016281,2074.26666200812,2893.05613385344,1921.24499511719
118.06640625,24.78515625,0.945078613201411,-1.508465051651,"0p-25p",2,56.5,1311.44973466981,2166.74303988925,3022.0363451087,196.327499389648
119.4140625,22.79296875,0.945802417799976,-1.44402623176575,"25p-50p",2.5,56.5,1326.41913610773,2191.47509443886,3056.53105276999,447.543884277344
120.9375,20.859375,0.945884920307396,-1.48923933506012,"25p-50p",3,56.5,1343.34106816799,2219.43306914711,3095.52507012623,583.968322753906
103.828125,15.9375,0.946112723472695,-1.35854506492615,"25p-50p",3.5,56.5,1153.2947542605,1905.44350703909,2657.59225981767,1008.93249511719
84.66796875,13.4765625,0.946210245453214,-1.34508919715881,"25p-50p",4,56.5,940.468916425745,1553.81820974688,2167.16750306802,1414.86059570312
96.09375,18.6328125,0.946820644721337,-1.41909325122833,"25p-50p",4.5,56.5,1067.38340687766,1763.50302005875,2459.62263323983,735.051696777344
101.8359375,20.21484375,0.947067593519161,-1.42848432064056,"25p-50p",5,56.5,1131.16607387401,1868.88307857445,2606.60008327489,1063.40393066406
87.1875,14.94140625,0.947049636192927,-1.32053411006927,"25p-50p",5.5,56.5,968.455188679245,1600.05639868745,2231.65760869565,3956.140625
84.7265625,11.953125,0.947545681682043,-1.3518922328949,"25p-50p",6,56.5,941.119759966525,1554.89351646643,2168.66727296634,5309.6767578125
106.9921875,17.05078125,0.947714542477571,-1.41271781921387,"25p-50p",6.5,56.5,1188.44030546257,1963.51006989468,2738.57983432679,5188.96044921875
142.265625,26.07421875,0.947792612427282,-1.67860436439514,"0p-25p",7,56.5,1580.24811701156,2610.84471506258,3641.4413131136,4443.9453125
130.25390625,23.90625,0.948110588972878,-1.61522889137268,"0p-25p",7.5,56.5,1446.82519115186,2390.40683755524,3333.98848395863,6713.14453125
32.87109375,4.453125,0.94854396111607,-1.14454460144043,"25p-50p",11,56.5,365.123226377054,603.247069666437,841.37091295582,907.266662597656
29.1796875,5.5078125,0.948231995195482,-1.1872386932373,"25p-50p",11.5,56.5,324.120083307973,535.502746334912,746.885409361851,13110.5546875
