"density","density_freq","bathymetry_prob","reconstruction_log_probability","percentile","longitude","latitude","lower_fishing_effort_estimate","average_fishing_effort_estimate","upper_fishing_effort_estimate","gfw_data"
0,0,0.948009153833757,-1.03758502006531,"50p-75p",-1,50.5,0,0,0,1323.53137207031
0,0,0.946981675891842,-1.04543578624725,"25p-50p",-0.5,50.5,0,0,0,6971.42822265625
1.7578125,0.76171875,0.947505513989762,-1.04427003860474,"25p-50p",0.5,50.5,19.5253062233719,32.2592015864405,44.9930969495091,15430.1083984375
2.05078125,0.76171875,0.9480477407129,-1.0416305065155,"50p-75p",1,50.5,0,0,0,27379.01953125
0,0,0,-0.797778248786926,"75p-100p",-1,51,0,0,0,0
0,0,0,-0.777956962585449,"75p-100p",-0.5,51,0,0,0,0
3.45703125,1.46484375,0,-0.853894948959351,"75p-100p",0.5,51,0,0,0,16.2961101531982
7.6171875,1.69921875,0.948762228153662,-1.05792427062988,"25p-50p",1,51,84.6096603012781,139.789873541242,194.970086781206,5709.0595703125
0,0,0.948123390393881,-1.05966567993164,"25p-50p",-4.5,51.5,0,0,0,259.204162597656
0,0,0,-0.795954883098602,"75p-100p",-3.5,51.5,0,0,0,0
31.69921875,1.93359375,0.94836828961011,-1.13468015193939,"25p-50p",1.5,51.5,352.106355561473,581.740935275477,811.375514989481,4143.802734375
44.6484375,1.81640625,0.947602282778358,-1.18364691734314,"25p-50p",2,51.5,495.942778073646,819.383720295589,1142.82466251753,13737.2294921875
39.9609375,2.578125,0.948063946188051,-1.17131555080414,"25p-50p",2.5,51.5,443.875294811321,733.359182731747,1022.84307065217,7655.8505859375
10.25390625,1.69921875,0,-0.792627513408661,"75p-100p",1,52,0,0,0,354.790008544922
26.484375,1.9921875,0.948799777858583,-1.13382625579834,"25p-50p",1.5,52,294.181280432136,486.038637235704,677.895994039271,955.335266113281
38.49609375,1.23046875,0.947925090717233,-1.12194347381592,"25p-50p",2,52,427.604206291844,706.476514743047,985.34882319425,1586.11999511719
