"bimac","density","density_freq","bathymetry_prob","reconstruction_log_probability","percentile","longitude","latitude","lower_fishing_effort_estimate","average_fishing_effort_estimate","upper_fishing_effort_estimate","gfw_data"
0,0,0,0.948009153833757,-1.46290957927704,"50p-75p",-1,50.5,0,0,0,1323.53137207031
0,0,0,0.946981675891842,-1.44064271450043,"50p-75p",-0.5,50.5,0,0,0,6971.42822265625
104.846000671387,1.7578125,0.76171875,0.947505513989762,-2.28749418258667,"25p-50p",0.5,50.5,19.5253062233719,32.2592015864405,44.9930969495091,15430.1083984375
110.152565002441,2.05078125,0.76171875,0.9480477407129,-2.28305625915527,"25p-50p",1,50.5,22.7795239272672,37.6357351841806,52.491946441094,27379.01953125
0,0,0,0,-1.23827910423279,"75p-100p",-1,51,0,0,0,0
0,0,0,0,-1.26975762844086,"50p-75p",-0.5,51,0,0,0,0
104.846000671387,3.45703125,1.46484375,0,-2.0531861782074,"25p-50p",0.5,51,38.3997689059647,63.443096453333,88.4864240007012,16.2961101531982
110.152565002441,7.6171875,1.69921875,0.948762228153662,-2.29626226425171,"25p-50p",1,51,84.6096603012781,139.789873541242,194.970086781206,5709.0595703125
0,0,0,0.948123390393881,-1.48245048522949,"50p-75p",-4.5,51.5,0,0,0,259.204162597656
0,0,0,0,-1.13367521762848,"75p-100p",-3.5,51.5,0,0,0,0
111.933212280273,31.69921875,1.93359375,0.94836828961011,-2.32931685447693,"25p-50p",1.5,51.5,352.106355561473,581.740935275477,811.375514989481,4143.802734375
113.083969116211,44.6484375,1.81640625,0.947602282778358,-2.47220277786255,"0p-25p",2,51.5,495.942778073646,819.383720295589,1142.82466251753,13737.2294921875
124.159484863281,39.9609375,2.578125,0.948063946188051,-2.44112491607666,"25p-50p",2.5,51.5,443.875294811321,733.359182731747,1022.84307065217,7655.8505859375
118.379592895508,10.25390625,1.69921875,0,-2.17908716201782,"25p-50p",1,52,113.897619636336,188.178675920903,262.45973220547,354.790008544922
115.291610717773,26.484375,1.9921875,0.948799777858583,-2.37832999229431,"25p-50p",1.5,52,294.181280432136,486.038637235704,677.895994039271,955.335266113281
121.027076721191,38.49609375,1.23046875,0.947925090717233,-2.35121369361877,"25p-50p",2,52,427.604206291844,706.476514743047,985.34882319425,1586.11999511719
122.648811340332,45.29296875,3.10546875,0.947705272038879,-2.50871157646179,"0p-25p",2.5,52,503.102057022215,831.212094210617,1159.32213139902,6390.306640625
0,64.16015625,8.203125,0.947972035820005,-1.60350704193115,"50p-75p",3,52,0,0,0,7475.52001953125
0,110.625,14.94140625,0.948197552599899,-1.75812375545502,"50p-75p",3.5,52,0,0,0,3312.76953125
0,108.80859375,14.4140625,0.948427302582646,-1.79145622253418,"50p-75p",4,52,0,0,0,4507.38037109375
124.53849029541,10.8984375,0.76171875,0,-2.15752172470093,"25p-50p",1.5,52.5,121.056898584906,200.007049835931,278.957201086957,783.233581542969
122.157737731934,19.6875,0.234375,0.94795467327042,-2.34099745750427,"25p-50p",2,52.5,218.683429701765,361.303057768134,503.922685834502,4326.73974609375
122.36043548584,31.40625,1.7578125,0.947576293494987,-2.36164689064026,"25p-50p",2.5,52.5,348.852137857578,576.364401677737,803.876665497896,7507.79541015625
124.297096252441,58.9453125,6.4453125,0.947931741787324,-2.54587030410767,"0p-25p",3,52.5,654.748602023737,1081.7585598653,1508.76851770687,7973.44921875
0,103.53515625,12.1875,0.948131342057013,-1.73908638954163,"50p-75p",3.5,52.5,0,0,0,7082.9404296875
0,102.36328125,12.01171875,0.948285748941137,-1.72278487682343,"50p-75p",4,52.5,0,0,0,3589.9833984375
0,0,0,0,-1.13165724277496,"75p-100p",-4.5,53,0,0,0,139.091110229492
