"longitude","latitude","nvessels","nreturning_vessels","bimac","density","density_freq","bathymetry_prob","fishing","lower_fishing_effort_estimate","average_fishing_effort_estimate","upper_fishing_effort_estimate","gfw_data"
-1,50.5,0,0,0,0,0,0.948009153833757,TRUE,0,0,0,0
-0.5,50.5,0,0,0,0,0,0.946981675891842,TRUE,0,0,0,0
0.5,50.5,0,0,0,1.7578125,0.76171875,0.947505513989762,TRUE,19.5253062233719,21.79569066795,24.0660751125281,0
1,50.5,0,0,0,2.05078125,0.76171875,0.9480477407129,TRUE,22.7795239272672,25.428305779275,28.0770876312828,0
-1,51,0,0,0,0,0,0,FALSE,0,0,0,2816.76879882812
-0.5,51,0,0,0,0,0,0,FALSE,0,0,0,3598.62475585938
0.5,51,2,1,0,3.45703125,1.46484375,0,FALSE,0,0,0,17681.03125
1,51,3,1,0,7.6171875,1.69921875,0.948762228153662,TRUE,84.6096603012781,94.44799289445,104.286325487622,28162.015625
-4.5,51.5,0,0,0,0,0,0.948123390393881,TRUE,0,0,0,0
-3.5,51.5,0,0,0,0,0,0,FALSE,0,0,0,404.646667480469
1.5,51.5,16,1,115.246078491211,31.69921875,1.93359375,0.94836828961011,TRUE,352.106355561473,393.048955045365,433.991554529257,6897.70556640625
2,51.5,18,0,113.69694519043,44.6484375,1.81640625,0.947602282778358,TRUE,495.942778073646,553.61054296593,611.278307858215,14357.3046875
2.5,51.5,21,2,120.260406494141,39.9609375,2.578125,0.948063946188051,TRUE,443.875294811321,495.48870118473,547.10210755814,25521.650390625
1,52,3,1,122.411605834961,10.25390625,1.69921875,0,TRUE,113.897619636336,127.141528896375,140.385438156414,168.388320922852
1.5,52,7,1,121.42896270752,26.484375,1.9921875,0.948799777858583,TRUE,294.181280432136,328.38840606378,362.595531695424,2740.12866210938
2,52,9,0,124.175964355469,38.49609375,1.23046875,0.947925090717233,TRUE,427.604206291844,477.325625628105,527.047044964366,13115.9345703125
2.5,52,8,0,122.681541442871,45.29296875,3.10546875,0.947705272038879,TRUE,503.102057022215,561.602296210845,620.102535399475,7161.80126953125
3,52,19,3,122.368438720703,64.16015625,8.203125,0.947972035820005,TRUE,712.673677153074,795.542709380175,878.411741607277,6283.39208984375
3.5,52,44,6,124.810523986816,110.625,14.94140625,0.948197552599899,TRUE,1228.79260499087,1371.67546603632,1514.55832708177,12734.4931640625
4,52,66,9,0,108.80859375,14.4140625,0.948427302582646,TRUE,1208.61645522672,1349.15325234611,1489.69004946549,33755.98046875
1.5,52.5,0,0,0,10.8984375,0.76171875,0,FALSE,0,0,0,93.9330596923828
2,52.5,4,0,0,19.6875,0.234375,0.94795467327042,TRUE,218.683429701765,244.11173548104,269.540041260315,2745.8837890625
2.5,52.5,8,0,124.610977172852,31.40625,1.7578125,0.947576293494987,TRUE,348.852137857578,389.41633993404,429.980542010503,2059.267578125
3,52.5,11,2,123.148452758789,58.9453125,6.4453125,0.947931741787324,TRUE,654.748602023737,730.88216039859,807.015718773443,935.137756347656
3.5,52.5,27,3,125.242134094238,103.53515625,12.1875,0.948131342057013,TRUE,1150.0405365566,1283.76618034226,1417.49182412791,2702.2705078125
4,52.5,33,4,0,102.36328125,12.01171875,0.948285748941137,TRUE,1137.02366574102,1269.23571989696,1401.44777405289,11320.0107421875
-4.5,53,0,0,0,0,0,0,FALSE,0,0,0,0
1.5,53,3,0,0,7.8515625,0,0.948356936198055,TRUE,87.2130344643944,97.35408498351,107.495135502626,1.41694402694702
2,53,3,0,0,11.953125,0,0.948228835575307,TRUE,132.772082318929,148.21069654206,163.649310765191,40.7013893127441
