"bimac","density","density_freq","bathymetry_prob","reconstruction_log_probability","percentile","longitude","latitude","lower_fishing_effort_estimate","average_fishing_effort_estimate","upper_fishing_effort_estimate","gfw_data"
3173.60913085938,7.08984375,0,0.948009153833757,-2.41566872596741,"25p-50p",-1,50.5,4.67786147640998,7.01679221461497,9.35572295281996,1323.53137207031
3161.7021484375,15,0,0.946981675891842,-2.33841133117676,"25p-50p",-0.5,50.5,9.89696312364425,14.8454446854664,19.7939262472885,6971.42822265625
3175.37426757812,11.484375,1.23046875,0.947505513989762,-2.37671089172363,"25p-50p",0.5,50.5,7.57736239154013,11.3660435873102,15.1547247830803,15430.1083984375
3179.09692382812,18.22265625,1.81640625,0.9480477407129,-2.35039520263672,"25p-50p",1,50.5,12.0232637947397,18.0348956921095,24.0465275894794,27379.01953125
3173.60913085938,15.703125,0,0,-2.22662854194641,"25p-50p",-1,51,10.3608832700651,15.5413249050976,20.7217665401302,0
3161.7021484375,26.77734375,0,0,-2.25253772735596,"25p-50p",-0.5,51,17.6676255761931,26.5014383642896,35.3352511523861,0
3175.37426757812,23.84765625,2.51953125,0,-2.25596833229065,"25p-50p",0.5,51,15.7346249661063,23.6019374491594,31.4692499322126,16.2961101531982
3179.09692382812,68.90625,5.68359375,0.948762228153662,-2.31167507171631,"25p-50p",1,51,45.4641743492408,68.1962615238612,90.9283486984816,5709.0595703125
0,0,0,0.948123390393881,-1.50946390628815,"50p-75p",-4.5,51.5,0,0,0,259.204162597656
3175.6328125,0.9375,0,0,-2.21811604499817,"25p-50p",-3.5,51.5,0.618560195227766,0.927840292841649,1.23712039045553,0
0,356.3671875,18.10546875,0.94836828961011,-1.56880283355713,"50p-75p",1.5,51.5,0,0,0,4143.802734375
0,686.25,33.6328125,0.947602282778358,-1.75079154968262,"25p-50p",2,51.5,452.786062906725,679.179094360087,905.572125813449,13737.2294921875
3178.25439453125,867.71484375,37.8515625,0.948063946188051,-2.56259322166443,"0p-25p",2.5,51.5,572.516120695499,858.774181043248,1145.032241391,7655.8505859375
0,120.41015625,4.3359375,0,-1.23669874668121,"75p-100p",1,52,0,0,0,354.790008544922
0,397.96875,12.83203125,0.948799777858583,-1.58752191066742,"50p-75p",1.5,52,0,0,0,955.335266113281
0,799.16015625,22.8515625,0.947925090717233,-1.64728736877441,"50p-75p",2,52,0,0,0,1586.11999511719
0,1355.91796875,32.87109375,0.947705272038879,-1.79832148551941,"25p-50p",2.5,52,894.631342360358,1341.94701354054,1789.26268472072,6390.306640625
3178.8984375,2185.83984375,52.67578125,0.947972035820005,-2.77057242393494,"0p-25p",3,52,1442.21175518574,2163.31763277861,2884.42351037148,7475.52001953125
0,3472.03125,170.33203125,0.948197552599899,-2.54090523719788,"25p-50p",3.5,52,2290.83768302603,3436.25652453905,4581.67536605206,3312.76953125
3176.14892578125,3296.6015625,226.7578125,0.948427302582646,-3.56912541389465,"0p-25p",4,52,2175.08960649403,3262.63440974105,4350.17921298807,4507.38037109375
0,463.06640625,4.5703125,0,-1.28180539608002,"50p-75p",1.5,52.5,0,0,0,783.233581542969
0,836.07421875,8.671875,0.94795467327042,-1.56584179401398,"50p-75p",2,52.5,0,0,0,4326.73974609375
0,1404.90234375,15.3515625,0.947576293494987,-1.64152991771698,"50p-75p",2.5,52.5,0,0,0,7507.79541015625
0,2465.859375,36.4453125,0.947931741787324,-1.92500150203705,"25p-50p",3,52.5,1626.96795349783,2440.45193024675,3253.93590699566,7973.44921875
3179.3193359375,3842.34375,108.28125,0.948131342057013,-3.08116149902344,"0p-25p",3.5,52.5,2535.168960141,3802.7534402115,5070.337920282,7082.9404296875
3179.19165039062,3609.55078125,151.34765625,0.948285748941137,-3.28612780570984,"0p-25p",4,52.5,2381.5727316635,3572.35909749525,4763.14546332701,3589.9833984375
0,0,0,0,-1.05409240722656,"75p-100p",-4.5,53,0,0,0,139.091110229492
3176.41455078125,792.36328125,4.6875,0.948356936198055,-2.55909085273743,"0p-25p",1.5,53,522.799345004067,784.199017506101,1045.59869000813,5258.13623046875
3180.14111328125,1030.4296875,7.03125,0.948228835575307,-2.5037088394165,"25p-50p",2,53,679.874974579718,1019.81246186958,1359.74994915944,2059.84912109375
0,1381.640625,10.83984375,0.947962565954921,-1.68270909786224,"25p-50p",2.5,53,911.60308771692,1367.40463157538,1823.20617543384,14557.09765625
0,2080.546875,16.93359375,0.948010731077148,-1.75278747081757,"25p-50p",3,53,1372.73971325922,2059.10956988883,2745.47942651844,12201.1279296875
0,3022.3828125,30.3515625,0.948088415959165,-1.96093428134918,"25p-50p",3.5,53,1994.16074938991,2991.24112408487,3988.32149877983,7398.98388671875
3177.283203125,3079.98046875,38.61328125,0.94816803778167,-2.81605219841003,"0p-25p",4,53,2032.16354138422,3048.24531207633,4064.32708276844,2272.34912109375
0,2660.5078125,117.3046875,0.948695808437193,-2.21232151985168,"25p-50p",5,53,1755.396514032,2633.09477104799,3510.79302806399,81770.7890625
0,1422.12890625,18.57421875,0.948609198106714,-1.70412707328796,"25p-50p",0.5,53.5,938.317156148319,1407.47573422248,1876.63431229664,6881.44580078125
0,1414.98046875,9.55078125,0.948429123392282,-1.67547929286957,"25p-50p",1,53.5,933.600634659707,1400.40095198956,1867.20126931941,2360.49682617188
0,1154.53125,6.38671875,0.948205542789178,-1.67338263988495,"25p-50p",1.5,53.5,761.756880422994,1142.63532063449,1523.51376084599,2275.90893554688
3174.60473632812,1097.40234375,6.328125,0.94804392143302,-2.55052161216736,"25p-50p",2,53.5,724.063368526302,1086.09505278945,1448.1267370526,4271.09814453125
3179.744140625,1294.86328125,7.734375,0.948164797165831,-2.5079185962677,"25p-50p",2.5,53.5,854.34760964615,1281.52141446922,1708.6952192923,5350.89111328125
0,1764.140625,10.37109375,0.947947784865826,-1.76510751247406,"25p-50p",3,53.5,1163.97564736985,1745.96347105477,2327.9512947397,8595.154296875
0,2457.59765625,18.80859375,0.947900414180077,-1.75768196582794,"25p-50p",3.5,53.5,1621.51689177739,2432.27533766608,3243.03378355477,4824.7724609375
3177.51000976562,3206.484375,34.921875,0.948014455391322,-2.61885929107666,"0p-25p",4,53.5,2115.63050772777,3173.44576159165,4231.26101545553,4663.74951171875
0,4180.8984375,77.40234375,0.948177331661202,-2.25930094718933,"25p-50p",4.5,53.5,2758.54651064262,4137.81976596394,5517.09302128525,2933.56591796875
0,4361.71875,108.1640625,0.948266619522626,-2.38644981384277,"25p-50p",5,53.5,2877.85130829718,4316.77696244577,5755.70261659436,4078.70092773438
3176.60083007812,2981.484375,108.10546875,0.948784402634495,-2.91461491584778,"0p-25p",7,53.5,1967.1760608731,2950.76409130965,3934.3521217462,7330.08740234375
0,65.68359375,1.0546875,0.947953941296293,-1.45371639728546,"50p-75p",-4.5,54,0,0,0,1744.07861328125
0,225.64453125,3.45703125,0.947918720010264,-1.46499311923981,"50p-75p",-4,54,0,0,0,3167.57470703125
3171.68237304688,254.12109375,3.8671875,0.948242236507602,-2.30113172531128,"25p-50p",-3.5,54,167.668472918926,251.502709378389,335.336945837853,108.948059082031
0,1472.9296875,36.26953125,0.947731090547478,-1.79165327548981,"25p-50p",0,54,971.835386727223,1457.75308009084,1943.67077345445,10326.0947265625
0,2009.58984375,30.29296875,0.947183224569548,-1.80974638462067,"25p-50p",0.5,54,1325.92243848292,1988.88365772438,2651.84487696584,7085.91796875
0,1687.32421875,11.015625,0.947586316457643,-1.70459401607513,"25p-50p",1,54,1113.29237137337,1669.93855706006,2226.58474274675,1083.2197265625
0,1239.78515625,8.73046875,0.946907989826709,-1.74544787406921,"25p-50p",1.5,54,818.007198176519,1227.01079726478,1636.01439635304,1869.17309570312
