"bimac","density_freq","bathymetry_prob","reconstruction_log_probability","percentile","longitude","latitude","lower_fishing_effort_estimate","average_fishing_effort_estimate","upper_fishing_effort_estimate","gfw_data"
0,0,0.948009153833757,-1.2141695022583,"50p-75p",-1,50.5,0,0,0,1323.53137207031
0,0,0.946981675891842,-1.21591234207153,"50p-75p",-0.5,50.5,0,0,0,6971.42822265625
0,0.76171875,0.947505513989762,-1.24080181121826,"50p-75p",0.5,50.5,0,0,0,15430.1083984375
118.825408935547,0.76171875,0.9480477407129,-2.11501264572144,"0p-25p",1,50.5,8.46096603012782,13.9789873541242,19.4970086781206,27379.01953125
0,0,0,-1.0459291934967,"75p-100p",-1,51,0,0,0,0
0,0,0,-1.01281714439392,"75p-100p",-0.5,51,0,0,0,0
0,1.46484375,0,-1.02331781387329,"75p-100p",0.5,51,0,0,0,16.2961101531982
118.825408935547,1.69921875,0.948762228153662,-2.14649128913879,"0p-25p",1,51,18.8744626825928,31.1838948668925,43.4933270511921,5709.0595703125
0,0,0.948123390393881,-1.19935774803162,"50p-75p",-4.5,51.5,0,0,0,259.204162597656
0,0,0,-0.999653875827789,"75p-100p",-3.5,51.5,0,0,0,0
113.057899475098,1.93359375,0.94836828961011,-2.18942141532898,"0p-25p",1.5,51.5,21.4778368457091,35.4851217450845,49.49240664446,4143.802734375
121.156829833984,1.81640625,0.947602282778358,-2.14557671546936,"0p-25p",2,51.5,20.1761497641509,33.3345083059885,46.4928668478261,13737.2294921875
123.971412658691,2.578125,0.948063946188051,-2.24320554733276,"0p-25p",2.5,51.5,28.6371157942788,47.3134956601127,65.9898755259467,7655.8505859375
112.394912719727,1.69921875,0,-1.94693577289581,"25p-50p",1,52,18.8744626825928,31.1838948668925,43.4933270511921,354.790008544922
116.425384521484,1.9921875,0.948799777858583,-2.212477684021,"0p-25p",1.5,52,22.1286803864881,36.5604284646326,50.992176542777,955.335266113281
120.087608337402,1.23046875,0.947925090717233,-2.11625075340271,"0p-25p",2,52,13.6677143563603,22.5814411105083,31.4951678646564,1586.11999511719
121.803176879883,3.10546875,0.947705272038879,-2.1446795463562,"0p-25p",2.5,52,34.4947076612903,56.9912561360449,79.4878046107994,6390.306640625
122.656608581543,8.203125,0.947972035820005,-2.25180387496948,"0p-25p",3,52,91.1180957090688,150.542940736722,209.967785764376,7475.52001953125
123.178199768066,14.94140625,0.948197552599899,-2.19336986541748,"0p-25p",3.5,52,165.965102898661,274.203213484744,382.441324070827,3312.76953125
0,14.4140625,0.948427302582646,-1.40030169487,"25p-50p",4,52,160.107511031649,264.525453008812,368.943394985975,4507.38037109375
120.687767028809,0.76171875,0,-2.01826810836792,"25p-50p",1.5,52.5,8.46096603012782,13.9789873541242,19.4970086781206,783.233581542969
124.184448242188,0.234375,0.94795467327042,-2.04731321334839,"25p-50p",2,52.5,2.60337416311625,4.30122687819207,5.99907959326788,4326.73974609375
120.730445861816,1.7578125,0.947576293494987,-2.21298861503601,"0p-25p",2.5,52.5,19.5253062233719,32.2592015864405,44.9930969495091,7507.79541015625
120.093818664551,6.4453125,0.947931741787324,-2.2058093547821,"0p-25p",3,52.5,71.5927894856969,118.283739150282,164.974688814867,7973.44921875
