"bimac","density","density_freq","bathymetry_prob","reconstruction_log_probability","percentile","longitude","latitude","lower_fishing_effort_estimate","average_fishing_effort_estimate","upper_fishing_effort_estimate","gfw_data"
0,0,0,0.948009153833757,-1.42135524749756,"50p-75p",-1,50.5,0,0,0,0
0,0,0,0.946981675891842,-1.46239852905273,"50p-75p",-0.5,50.5,0,0,0,0
54215.98828125,43.7109375,2.75390625,0.947505513989762,-2.53341150283813,"25p-50p",0.5,50.5,18.2566565825609,27.3849848738414,36.5133131651219,0
0,90.9375,4.04296875,0.9480477407129,-1.63863396644592,"25p-50p",1,50.5,37.9816769653278,56.9725154479918,75.9633539306557,0
0,0,0,0,-1.25155603885651,"75p-100p",-1,51,0,0,0,2816.76879882812
0,0,0,0,-1.39683270454407,"75p-100p",-0.5,51,0,0,0,3598.62475585938
54215.98828125,93.75,4.74609375,0,-2.45411515235901,"25p-50p",0.5,51,39.1563680054926,58.7345520082389,78.3127360109852,17681.03125
0,1123.9453125,8.14453125,0.948762228153662,-1.84591090679169,"25p-50p",1,51,469.43590692585,704.153860388774,938.871813851699,28162.015625
0,0,0,0.948123390393881,-1.50334715843201,"50p-75p",-4.5,51.5,0,0,0,0
0,0,0,0,-1.40056991577148,"75p-100p",-3.5,51.5,0,0,0,404.646667480469
0,14069.23828125,18.3984375,0.94836828961011,-2.66087698936462,"0p-25p",1.5,51.5,5876.26956477429,8814.40434716143,11752.5391295486,6897.70556640625
54215.81640625,33170.390625,26.953125,0.947602282778358,-4.30648994445801,"0p-25p",2,51.5,13854.2082367834,20781.3123551751,27708.4164735668,14357.3046875
54213.578125,39298.59375,24.0234375,0.948063946188051,-4.52130508422852,"0p-25p",2.5,51.5,16413.7621223824,24620.6431835736,32827.5242447648,25521.650390625
0,6563.671875,5.390625,0,-1.73502850532532,"25p-50p",1,52,2741.43521498455,4112.15282247683,5482.8704299691,168.388320922852
0,20807.578125,17.578125,0.948799777858583,-2.6950535774231,"0p-25p",1.5,52,8690.65798789907,13035.9869818486,17381.3159757981,2740.12866210938
54216.96484375,31130.68359375,28.4765625,0.947925090717233,-4.63005447387695,"0p-25p",2,52,13002.2880326339,19503.4320489508,26004.5760652678,13115.9345703125
54217.4765625,31864.98046875,30.41015625,0.947705272038879,-4.64926958084106,"0p-25p",2.5,52,13308.9802850369,19963.4704275554,26617.9605700738,7161.80126953125
54215.81640625,23147.75390625,25.13671875,0.947972035820005,-4.22066307067871,"0p-25p",3,52,9668.07435150618,14502.1115272593,19336.1487030124,6283.39208984375
54212.7265625,50857.08984375,24.55078125,0.948197552599899,-4.73794746398926,"0p-25p",3.5,52,21241.3752065096,31862.0628097644,42482.7504130192,12734.4931640625
54213.296875,73492.20703125,19.86328125,0.948427302582646,-5.40944957733154,"0p-25p",4,52,30695.3376432158,46043.0064648236,61390.6752864315,33755.98046875
0,14848.2421875,10.95703125,0,-2.21808815002441,"25p-50p",1.5,52.5,6201.63451016993,9302.45176525489,12403.2690203399,93.9330596923828
0,16068.45703125,19.04296875,0.94795467327042,-2.72536134719849,"0p-25p",2,52.5,6711.27911249142,10066.9186687371,13422.5582249828,2745.8837890625
0,9014.35546875,22.03125,0.947576293494987,-2.65422177314758,"0p-25p",2.5,52.5,3765.00714737813,5647.5107210672,7530.01429475626,2059.267578125
54216.671875,9081.73828125,23.02734375,0.947931741787324,-3.70206713676453,"0p-25p",3,52.5,3793.15078688208,5689.72618032312,7586.30157376416,935.137756347656
54213.6640625,44867.578125,25.72265625,0.948131342057013,-4.77401542663574,"0p-25p",3.5,52.5,18739.7482728287,28109.622409243,37479.4965456574,2702.2705078125
54214.640625,71442.421875,22.32421875,0.948285748941137,-4.9424352645874,"0p-25p",4,52.5,29839.2081295057,44758.8121942585,59678.4162590113,11320.0107421875
0,0,0,0,-1.2741447687149,"75p-100p",-4.5,53,0,0,0,0
0,4687.1484375,10.6640625,0.948356936198055,-2.04925775527954,"25p-50p",1.5,53,1957.67156389461,2936.50734584192,3915.34312778922,1.41694402694702
0,4850.859375,14.6484375,0.948228835575307,-2.26365041732788,"25p-50p",2,53,2026.0483715242,3039.0725572863,4052.0967430484,40.7013893127441
0,2062.08984375,15,0.947962565954921,-2.19969964027405,"25p-50p",2.5,53,861.268787010814,1291.90318051622,1722.53757402163,6799.2900390625
0,1332.0703125,14.6484375,0.948010731077148,-2.13216590881348,"25p-50p",3,53,556.363043898043,834.544565847065,1112.72608779609,1690.748046875
54216.3671875,13672.734375,17.578125,0.948088415959165,-3.545414686203,"0p-25p",3.5,53,5710.66260084106,8565.99390126159,11421.3252016821,1714.08776855469
