"bimac","density","density_freq","bathymetry_prob","reconstruction_log_probability","percentile","longitude","latitude","lower_fishing_effort_estimate","average_fishing_effort_estimate","upper_fishing_effort_estimate","gfw_data"
3173.60913085938,7.08984375,0,0.948009153833757,-2.41566872596741,"25p-50p",-1,50.5,14.0335844292299,21.0503766438449,28.0671688584599,1323.53137207031
3161.7021484375,15,0,0.946981675891842,-2.33841133117676,"25p-50p",-0.5,50.5,29.6908893709328,44.5363340563991,59.3817787418655,6971.42822265625
3175.37426757812,11.484375,1.23046875,0.947505513989762,-2.37671089172363,"25p-50p",0.5,50.5,22.7320871746204,34.0981307619306,45.4641743492408,15430.1083984375
3179.09692382812,18.22265625,1.81640625,0.9480477407129,-2.35039520263672,"25p-50p",1,50.5,36.0697913842191,54.1046870763286,72.1395827684382,27379.01953125
3173.60913085938,15.703125,0,0,-2.22662854194641,"25p-50p",-1,51,31.0826498101952,46.6239747152928,62.1652996203905,0
3161.7021484375,26.77734375,0,0,-2.25253772735596,"25p-50p",-0.5,51,53.0028767285792,79.5043150928688,106.005753457158,0
3175.37426757812,23.84765625,2.51953125,0,-2.25596833229065,"25p-50p",0.5,51,47.2038748983189,70.8058123474783,94.4077497966377,16.2961101531982
3179.09692382812,68.90625,5.68359375,0.948762228153662,-2.31167507171631,"25p-50p",1,51,136.392523047722,204.588784571584,272.785046095445,5709.0595703125
0,0,0,0.948123390393881,-1.50946390628815,"50p-75p",-4.5,51.5,0,0,0,259.204162597656
3175.6328125,0.9375,0,0,-2.21811604499817,"25p-50p",-3.5,51.5,1.8556805856833,2.78352087852495,3.71136117136659,0
0,356.3671875,18.10546875,0.94836828961011,-1.56880283355713,"50p-75p",1.5,51.5,0,0,0,4143.802734375
0,686.25,33.6328125,0.947602282778358,-1.75079154968262,"25p-50p",2,51.5,1358.35818872017,2037.53728308026,2716.71637744035,13737.2294921875
3178.25439453125,867.71484375,37.8515625,0.948063946188051,-2.56259322166443,"0p-25p",2.5,51.5,1717.5483620865,2576.32254312975,3435.09672417299,7655.8505859375
0,120.41015625,4.3359375,0,-1.23669874668121,"75p-100p",1,52,0,0,0,354.790008544922
0,397.96875,12.83203125,0.948799777858583,-1.58752191066742,"50p-75p",1.5,52,0,0,0,955.335266113281
0,799.16015625,22.8515625,0.947925090717233,-1.64728736877441,"50p-75p",2,52,0,0,0,1586.11999511719
0,1355.91796875,32.87109375,0.947705272038879,-1.79832148551941,"25p-50p",2.5,52,2683.89402708107,4025.84104062161,5367.78805416215,6390.306640625
3178.8984375,2185.83984375,52.67578125,0.947972035820005,-2.77057242393494,"0p-25p",3,52,4326.63526555721,6489.95289833582,8653.27053111443,7475.52001953125
0,3472.03125,170.33203125,0.948197552599899,-2.54090523719788,"25p-50p",3.5,52,6872.51304907809,10308.7695736171,13745.0260981562,3312.76953125
3176.14892578125,3296.6015625,226.7578125,0.948427302582646,-3.56912541389465,"0p-25p",4,52,6525.2688194821,9787.90322922316,13050.5376389642,4507.38037109375
0,463.06640625,4.5703125,0,-1.28180539608002,"50p-75p",1.5,52.5,0,0,0,783.233581542969
0,836.07421875,8.671875,0.94795467327042,-1.56584179401398,"50p-75p",2,52.5,0,0,0,4326.73974609375
0,1404.90234375,15.3515625,0.947576293494987,-1.64152991771698,"50p-75p",2.5,52.5,0,0,0,7507.79541015625
0,2465.859375,36.4453125,0.947931741787324,-1.92500150203705,"25p-50p",3,52.5,4880.90386049349,7321.35579074024,9761.80772098699,7973.44921875
3179.3193359375,3842.34375,108.28125,0.948131342057013,-3.08116149902344,"0p-25p",3.5,52.5,7605.50688042299,11408.2603206345,15211.013760846,7082.9404296875
3179.19165039062,3609.55078125,151.34765625,0.948285748941137,-3.28612780570984,"0p-25p",4,52.5,7144.71819499051,10717.0772924858,14289.436389981,3589.9833984375
0,0,0,0,-1.05409240722656,"75p-100p",-4.5,53,0,0,0,139.091110229492
3176.41455078125,792.36328125,4.6875,0.948356936198055,-2.55909085273743,"0p-25p",1.5,53,1568.3980350122,2352.5970525183,3136.7960700244,5258.13623046875
3180.14111328125,1030.4296875,7.03125,0.948228835575307,-2.5037088394165,"25p-50p",2,53,2039.62492373915,3059.43738560873,4079.24984747831,2059.84912109375
0,1381.640625,10.83984375,0.947962565954921,-1.68270909786224,"25p-50p",2.5,53,2734.80926315076,4102.21389472614,5469.61852630152,14557.09765625
0,2080.546875,16.93359375,0.948010731077148,-1.75278747081757,"25p-50p",3,53,4118.21913977766,6177.32870966649,8236.43827955531,12201.1279296875
0,3022.3828125,30.3515625,0.948088415959165,-1.96093428134918,"25p-50p",3.5,53,5982.48224816974,8973.72337225461,11964.9644963395,7398.98388671875
3177.283203125,3079.98046875,38.61328125,0.94816803778167,-2.81605219841003,"0p-25p",4,53,6096.49062415266,9144.73593622899,12192.9812483053,2272.34912109375
0,2660.5078125,117.3046875,0.948695808437193,-2.21232151985168,"25p-50p",5,53,5266.18954209599,7899.28431314398,10532.379084192,81770.7890625
0,1422.12890625,18.57421875,0.948609198106714,-1.70412707328796,"25p-50p",0.5,53.5,2814.95146844496,4222.42720266744,5629.90293688991,6881.44580078125
0,1414.98046875,9.55078125,0.948429123392282,-1.67547929286957,"25p-50p",1,53.5,2800.80190397912,4201.20285596868,5601.60380795824,2360.49682617188
